entity_key,canonical_name,locations,size_tier,n_states,states,primary_state,loc_employees_sum,loc_sales_sum,corp_employees,corp_sales,year_established,school,special_needs,charter,parents,website,phone,lead_exec,hq,sample_address,name_variants,nontarget_reason,review_flag,gov_flag,credit_score,is_target
FARSHA CAPITAL AMER BUS GROUP,Farsha Capital Amer Bus Group,1,single,1,NY,NY,28,1095000,0,0,1970,1,0,0,,,(347) 590-3002,,"Bronx, NY","791 Westchester Ave, Bronx, NY 10455",Farsha Capital Amer Bus Group(1),,,0,A,1
SEABROOK VILLAGE,Seabrook Village,1,single,1,NJ,NJ,22,1094000,0,0,,1,0,0,,,(732) 643-9222,Joe Baldanza (Manager),"Ocean, NJ","3421 Sunset Ave, Ocean, NJ 07712",Seabrook Village(1),,,0,A+,1
SCHOLASTIC SCHOOL BUS,Scholastic School Bus,1,single,1,NY,NY,28,1094000,0,0,,1,0,0,,,Not Available,,"Brooklyn, NY","1188 E 42nd St, Brooklyn, NY 11210",Scholastic School Bus(1),,,0,A+,1
CASTAWAY MOTOR COACH TOURS,Castaway Motor Coach Tours,1,single,1,MA,MA,13,1092000,0,0,,0,0,1,,,(508) 584-2924,,"Brockton, MA","50 Meadowbrook Rd, Brockton, MA 02301",Castaway Motor Coach Tours(1),,,0,B+,1
F G GOLDBACH BUS,F G Goldbach Bus Co,1,single,1,DE,DE,26,1091000,0,0,,1,0,0,,,Not Available,,"Lewes, DE","3 Drake Knl, Lewes, DE 19958",F G Goldbach Bus Co(1),,,0,A+,1
PROFESSIONAL BUS ASSISTANCE,Professional Bus Assistance,1,single,1,GA,GA,26,1091000,0,0,,1,0,0,,Pbaorganize.Com,Not Available,,"Dalton, GA","324 Brickyard Rd, Dalton, GA 30721",Professional Bus Assistance(1),,,0,A+,1
ALLTOWN BUS,Alltown Bus Co,1,single,1,IL,IL,26,1091000,0,0,,1,0,0,,Alltownbus.Com,(217) 855-0615,,"Decatur, IL","1610 N Brant Ct, Decatur, IL 62521",Alltown Bus Co(1),,,0,A,1
CREST SCHOOLS BUS BARN,Crest Schools Bus Barn,1,single,1,KS,KS,26,1091000,0,0,,1,0,0,,Neuroskills.Com,Not Available,,"Colony, KS","11566 SW Jefferson Rd, Colony, KS 66015",Crest Schools Bus Barn(1),,,0,A+,1
LOVING TOUCH TRANSPORTATION,Loving Touch Transportation,1,single,1,MI,MI,18,1091000,0,0,,0,1,0,,Lovingtouchtransportation.Com,(248) 254-6960,Matthias Kapp (Owner),"Clinton Township, MI","40680 Garfield Rd # 2, Clinton Township, MI 48038",Loving Touch Transportation(1),,,0,B,1
RAVENNA PUBLIC SCHOOL TRANSPORTATION,Ravenna Public School Trnsprtn,1,single,1,MI,MI,26,1091000,0,0,,1,0,0,,Ravennaschools.Org,(231) 853-6311,,"Ravenna, MI","2830 S Ravenna Rd, Ravenna, MI 49451",Ravenna Public School Trnsprtn(1),,,0,A,1
EXCEL 3,Excel 3,1,single,1,NJ,NJ,20,1091000,0,0,2018,1,0,0,,,(862) 235-8288,Mergani Elnegomi Mabar (Owner),"Little Ferry, NJ","14 Maple St, Little Ferry, NJ 07643",Excel 3(1),,,0,A,1
R PRIME TRANSPORTATION,R C Prime Transportation,1,single,1,NJ,NJ,20,1091000,0,0,2018,1,0,0,,,Not Available,Rosa J Salvador (Owner),"Little Ferry, NJ","65 Summit Cir, Little Ferry, NJ 07643",R C Prime Transportation(1),,,0,A,1
BEDFORD COUNTY EDU TRANSPORTATION,Bedford County Edu Trnsprtn,1,single,1,TN,TN,26,1091000,0,0,,1,0,0,,Prestonspire.Com,Not Available,,"Tullahoma, TN","2111 N Jackson St, Tullahoma, TN 37388",Bedford County Edu Trnsprtn(1),,,0,A+,1
ROVER CITY BUS SERVICE,Rover-City Bus Svc,1,single,1,TN,TN,26,1091000,0,0,,1,0,0,,Cityofrochester.Gov,Not Available,,"Murfreesboro, TN","111 W Vine St, Murfreesboro, TN 37130",Rover-City Bus Svc(1),,,0,A+,1
BEDFORD COUNTY SCHOOL BUS GRGE,Bedford County School Bus Grge,1,single,1,VA,VA,35,1091000,0,0,,1,0,0,,Bedfordcountyschools.Com,Not Available,,"Bedford, VA","529 W Federal St, Bedford, VA 24523",Bedford County School Bus Grge(1),,,0,A+,1
SPOTS PARTY BUS,Spots Party Bus LLC,1,single,1,KS,KS,11,1089000,0,0,,0,0,1,,Spotspartybus.Com,Not Available,,"Park City, KS","5550 N Hydraulic Ave, Park City, KS 67219",Spots Party Bus LLC(1),,,0,A,1
TRANSPORTAZUMAH,Transportazumah,1,single,1,NY,NY,13,1089000,0,0,,0,0,1,,Transportazumah.Com,Not Available,Joel Anabilahazumah (Owner),"Brooklyn, NY","146 E 55th St, Brooklyn, NY 11203",Transportazumah(1),national-platform,,0,A,0
SOUTH DAKOTA SCHOOL BUS,South Dakota School Bus,1,single,1,SD,SD,10,1089000,0,0,,1,0,1,,Goyotes.Com,(605) 356-2070,Ed Welch (Manager),"Elk Point, SD","1005 E Main St, Elk Point, SD 57025",South Dakota School Bus(1),,,0,A,1
ANDREWS FAMILY LIMOUSINE,Andrews Family Limousine LLC,1,single,1,MD,MD,17,1088000,0,0,,0,1,0,,,(410) 654-6478,,"Owings Mills, MD","4504 Runnymeade Rd, Owings Mills, MD 21117",Andrews Family Limousine LLC(1),,,0,B+,1
V VAN SERVICE,V & L Van Svc Co Inc,1,single,1,MD,MD,17,1088000,0,0,,0,1,0,,,(410) 602-3427,Vladimir Gerasimenko (President),"Pikesville, MD","7620 Carla Rd, Pikesville, MD 21208",V & L Van Svc Co Inc(1),,,0,B+,1
CITE CENTER FOR INNOVATION,Cite Center For Innovation,1,single,1,TX,TX,28,1087000,0,0,,1,0,0,,Shsu.Edu,Not Available,,"Huntsville, TX","2025 Sam Houston Boulevard Bld, Huntsville, TX 77340",Cite Center For Innovation(1),,,0,A+,1
DEXTER PUBLIC SCHOOL BUS TRANSPORTATION,Dexter Public School Bus Trans,1,single,1,MO,MO,30,1086000,0,0,,1,0,0,,Dexter.K12.Mo.Us,(573) 614-1041,Tim Fowler (Manager),"Dexter, MO","1031 Brown Pilot Ln, Dexter, MO 63841",Dexter Public School Bus Trans(1),,,0,A+,1
NAPOLEON AREA SCHOOLS TRANSPORTATION,Napoleon Area Schools Trans,1,single,1,OH,OH,30,1086000,0,0,,1,0,0,,Napoleonareaschools.Org,(419) 592-2403,,"Napoleon, OH","700 Westmoreland Ave, Napoleon, OH 43545",Napoleon Area Schools Trans(1),,,0,A,1
BON AIR TRANSIT,Bon Air Transit Co,1,single,1,VA,VA,11,1086000,0,0,,0,0,1,,Bonair.Com,(804) 233-1152,Mark D Fisher (President),"Richmond, VA","6020 Midlothian Tpke, Richmond, VA 23225",Bon Air Transit Co(1),,,0,A,1
CHARIOTS,Chariots,1,single,1,CA,CA,13,1085000,0,0,,0,1,0,,,(408) 526-1000,David Vasquez (Manager),"San Jose, CA","1955 Otoole Way, San Jose, CA 95131",Chariots(1),,,0,B+,1
MISSOURI CENTRAL SCHOOL BUS,Missouri Central School Bus,1,single,1,MO,MO,10,1083000,0,0,,1,0,0,,,(314) 534-7114,,"Saint Louis, MO","4014 Chouteau Ave, Saint Louis, MO 63110",Missouri Central School Bus(1),,,0,B+,1
ALL AMERICAN BUS,All American Bus Co Inc,1,single,1,NJ,NJ,23,1083000,0,0,,1,0,0,,,(973) 423-5151,William Lees (President),"Hawthorne, NJ","PO Box 406, Hawthorne, NJ 07507",All American Bus Co Inc(1),,,0,A,1
YOFLO,Yoflo LLC,1,single,1,AL,AL,11,1082000,0,0,,0,1,0,,,Not Available,,"Cowarts, AL","473 Jester St, Cowarts, AL 36321",Yoflo LLC(1),,,0,B+,1
NORTH IOWA BUS,North Iowa Bus Co Inc,1,single,1,IA,IA,30,1082000,0,0,,1,0,0,,Ridecavaliercoaches.Com,(641) 424-2600,John Regan (Manager),"Mason City, IA","2101 15th St SW, Mason City, IA 50401",North Iowa Bus Co Inc(1),,,0,A+,1
ALTMAR PARISH WILLIAMSTOWN,Altmar Parish Williamstown,1,single,1,NY,NY,30,1082000,0,0,,1,0,0,,Apwschools.Org,(315) 625-5241,Stewart Brown (Manager),"Parish, NY","641 County Route 22, Parish, NY 13131",Altmar Parish Williamstown(1),,,0,A+,1
HARLAN SCHOOLS BUS BARN,Harlan Schools-Bus Barn,1,single,1,IA,IA,32,1081000,0,0,,1,0,0,,,(712) 755-5070,Matt Koesters (Director),"Harlan, IA","1604 Industrial Pkwy, Harlan, IA 51537",Harlan Schools-Bus Barn(1),,,0,A+,1
SHORT LINE BUS COACH USA,Short Line Bus/COACH USA,1,single,1,NY,NY,7,1080000,0,0,,0,0,1,,,(212) 736-4700,,"New York, NY","41 8th Ave, New York, NY 10014",Short Line Bus/COACH USA(1),national-platform,,0,B+,0
TRAILWAYS,Trailways,1,single,1,NY,NY,14,1079000,0,0,,0,0,1,,,(607) 324-5656,Joe Rose (Manager),"Hornell, NY","118 Loder St, Hornell, NY 14843",Trailways(1),,,0,A,1
PHENIX CITY PUBC SCHOOL TRANSPORTATION,Phenix City Pubc Sch Trnsprtn,1,single,1,AL,AL,36,1078000,0,0,,1,0,0,,Pcboe.Net,Not Available,,"Phenix City, AL","809 12th St, Phenix City, AL 36867",Phenix City Pubc Sch Trnsprtn(1),,,0,A+,1
UTICA COMMUNITY SCHOOLS TRANSPORTATION,Utica Community Schools Trans,1,single,1,MI,MI,26,1077000,0,0,2008,1,0,0,,Uticak12.Org,(586) 797-7100,Jan Delboy (Exec Director),"Sterling Heights, MI","6600 18 Mile Rd, Sterling Heights, MI 48314",Utica Community Schools Trans(1),,,0,A,1
E FFICIENT SCHOOL TRANSPORTATION,E-Fficient School TRNSPRTN LLC,1,single,1,MN,MN,27,1077000,0,0,,1,0,0,,,Not Available,,"Coon Rapids, MN","422 84th Ln NW Usa, Coon Rapids, MN 55433",E-Fficient School TRNSPRTN LLC(1),,,0,A+,1
JAMES HAGER JR,James Hager Jr Inc,1,single,1,NJ,NJ,10,1077000,0,0,,0,0,1,,,(908) 788-9755,,"Whitehouse Station, NJ","PO Box 145, Whitehouse Station, NJ 08889",James Hager Jr Inc(1),,,0,A,1
GERONIMO PROFESSIONAL SERVICE,Geronimo Professional Svc LLC,1,single,1,NY,NY,27,1077000,0,0,,1,0,0,,,Not Available,,"Staten Island, NY","25 N Mada Ave, Staten Island, NY 10310",Geronimo Professional Svc LLC(1),,,0,A+,1
SODA K ROYAL LIMO,Soda K Royal Limo,1,single,1,SD,SD,12,1077000,0,0,,0,0,1,,Stellarlimousine.Com,(605) 575-0979,,"Sioux Falls, SD","47174 Dominic St, Sioux Falls, SD 57107",Soda K Royal Limo(1),,,0,A,1
CROSSROAD TOURS,Crossroad Tours Inc,1,single,1,IN,IN,17,1076000,0,0,,0,0,1,,Crossroadbus.Com,(260) 768-7549,Bernard Mullins (Manager),"Shipshewana, IN","1070 N 675 W, Shipshewana, IN 46565",Crossroad Tours Inc(1),,,0,A,1
SHOOTING STAR COACHES,Shooting Star Coaches Inc,1,single,1,NJ,NJ,9,1076000,0,0,,0,0,1,,,(908) 441-2799,,"Hackettstown, NJ","32 Delbarton Ct, Hackettstown, NJ 07840",Shooting Star Coaches Inc(1),,,0,B+,1
FINISH LINE CHARTER,Finish Line Charter,1,single,1,CA,CA,10,1075000,0,0,2000,0,0,1,,Finishlinecharter.Com,(323) 888-1928,Matthew Gonzalez (Director),"Montebello, CA","515 Montebello Way, Montebello, CA 90640",Finish Line Charter(1),,,0,A,1
GOLD COAST TOURS,Gold Coast Tours,1,single,1,CA,CA,10,1075000,0,0,1979,0,0,1,,Goldcoasttours.Com,(714) 449-6888,Willy Woneolowski (Site Manager),"Brea, CA","105 Gemini Ave, Brea, CA 92821",Gold Coast Tours(1),,,0,A,1
MARGARETTA TRANSPORTATION DEPARTMENT,Margaretta Transportation Dept,1,single,1,OH,OH,30,1074000,0,0,,1,0,0,,Margaretta.K12.Oh.Us,(419) 684-7714,Leroy Carol (Director),"Castalia, OH","205 Lucas St W, Castalia, OH 44824",Margaretta Transportation Dept(1),,,0,A+,1
D J SCHOOL BUS,D & J School Bus Co,1,single,1,PA,PA,32,1074000,0,0,,1,0,0,,,Not Available,,"Sayre, PA","304 S Keystone Ave, Sayre, PA 18840",D & J School Bus Co(1),,,0,A+,1
AMB SMALL BUS ACCNTING SERVICE,Amb Small Bus Accnting Svc,1,single,1,MD,MD,26,1072000,0,0,,1,0,0,,Ambaccounting.Com,Not Available,,"Frederick, MD","5507 Westcott Cir, Frederick, MD 21703",Amb Small Bus Accnting Svc(1),,,0,A+,1
SERENITY SWEET TRANSPORTATION,Serenity Sweet Trnsprtn LLC,1,single,1,MI,MI,15,1072000,0,0,,0,1,0,,,Not Available,,"Detroit, MI","17555 Mendota St, Detroit, MI 48221",Serenity Sweet Trnsprtn LLC(1),,,0,B+,1
DURHAM BUS SERVICE,Durham Bus Svc,1,single,1,IL,IL,27,1071000,0,0,,1,0,0,,Firststudentinc.Com,(618) 942-4610,Sandy Mabry (Manager),"Herrin, IL","2113 W Cherry St, Herrin, IL 62948",Durham Bus Svc(1),,,0,A+,1
VALCHECK FRANK D,Valcheck Frank D Inc,1,single,1,NJ,NJ,20,1071000,0,0,,1,0,0,,Hba.Hillsborough-Nj.Org,(908) 359-5711,Frank D Valcheck (Owner),"Hillsborough, NJ","393 S Branch Rd, Hillsborough, NJ 08844",Valcheck Frank D Inc(1),,,0,A+,1
MERYC BUS,Meryc Bus Co,1,single,1,NY,NY,21,1071000,0,0,,1,0,0,,,(914) 963-0142,,"Yonkers, NY","20 Torre Pl, Yonkers, NY 10703",Meryc Bus Co(1),,,0,A,1
LION BUS SERVICE,Lion Bus Svc LLC,1,single,1,MD,MD,24,1070000,0,0,,1,0,0,,,Not Available,,"Brooklyn, MD","401 Highland Ave # 1b, Brooklyn, MD 21225",Lion Bus Svc LLC(1),,,0,A+,1
FRANKLIN COUNTY BUS SERVICE,Franklin County Bus Svc,1,single,1,PA,PA,31,1069000,0,0,,1,0,0,,,Not Available,,"Shippensburg, PA","7500 Rice Rd, Shippensburg, PA 17257",Franklin County Bus Svc(1),,,0,A+,1
FLORES US BUS LINES,Flores US Bus Lines,1,single,1,TX,TX,9,1069000,0,0,,0,0,1,,Autobuses-Flores.Com,(713) 692-7117,,"Houston, TX","5224 Airline Dr, Houston, TX 77022",Flores US Bus Lines(1),,,0,A,1
GOKEY QUINN BUS,Gokey & Quinn Bus Co,1,single,1,MA,MA,12,1068000,0,0,1969,0,0,1,,,(978) 772-0552,Peter Deforge (President),"Harvard, MA","294 Ayer Rd, Harvard, MA 01451",Gokey & Quinn Bus Co(1),,,0,A,1
FRANKLIN COUNTY TRANSPORTATION CNCL,Franklin County Trnsprtn Cncl,1,single,1,MO,MO,19,1068000,0,0,,0,1,0,,Oatstransit.Org,(636) 583-1125,Pat Stanley (Manager),"Union, MO","247 Independence Dr, Union, MO 63084",Franklin County Trnsprtn Cncl(1),,,1,B+,1
BRAD KIM DALRYMPLE,Brad & Kim Dalrymple Inc,1,single,1,NJ,NJ,23,1067000,0,0,,1,0,0,,Bkdalrymple.Com,(908) 859-3215,Bradford Dalrymple (President),"Phillipsburg, NJ","2700 Belvidere Rd, Phillipsburg, NJ 08865",Brad & Kim Dalrymple Inc(1),,,0,A,1
UNICARE TRANSPORT SERVICE,Unicare Transport Svc,1,single,1,FL,FL,15,1066000,0,0,2011,0,1,0,,Unicaretransport.Com,(407) 977-2273,,"Orlando, FL","108 Redtail Ave # 352, Orlando, FL 32801",Unicare Transport Svc(1),,,0,B+,1
MCKENZIE SCHOOL BUS SERVICE,Mckenzie School Bus SVC LLC,1,single,1,MD,MD,14,1065000,0,0,2023,1,0,0,,,Not Available,David A Mckenzie (Manager),"Frostburg, MD","183 E Main St, Frostburg, MD 21532",Mckenzie School Bus SVC LLC(1),,,0,A,1
DOCKENDORF BUS SERVICE,Dockendorf Bus Svc Inc,1,single,1,MN,MN,30,1065000,0,0,,1,0,0,,,Not Available,,"Watkins, MN","39948 Csah 2, Watkins, MN 55389",Dockendorf Bus Svc Inc(1),,,0,A+,1
STATE COLLEGE CHMBER BUS IND,State College Chmber Bus Ind,1,single,1,PA,PA,30,1064000,0,0,,1,0,0,,Statecollege.Com,Not Available,,"State College, PA","200 Innovation Blvd, State College, PA 16803",State College Chmber Bus Ind(1),,,0,A+,1
MIDVIEW BUS GARAGE,Midview Bus Garage,1,single,1,OH,OH,28,1063000,0,0,,1,0,0,,Midviewk12.Org,Not Available,,"Grafton, OH","1010 Vivian Dr, Grafton, OH 44044",Midview Bus Garage(1),,,0,A+,1
FULLINGTON AUTO BUSINESS,Fullington Auto Business,1,single,1,PA,PA,14,1063000,0,0,1908,0,0,1,,Fullingtontours.Com,(814) 765-8046,Aerial Wiseman (CEO),"Clearfield, PA","316 E Cherry St, Clearfield, PA 16830",Fullington Auto Business(1),,,0,A,1
SENDMAIL WHICH WILL DO BUS,Sendmail Inc Which Will Do Bus,1,single,1,CA,CA,19,1061000,0,0,,1,0,0,,,Not Available,,"Sunnyvale, CA","925 W Maude Ave, Sunnyvale, CA 94085",Sendmail Inc Which Will Do Bus(1),,,0,A,1
MONROE COUNTY BUS DEV,Monroe County Bus Dev Corp,1,single,1,MI,MI,28,1061000,0,0,,1,0,0,,Monroecountybdc.Org,Not Available,,"Temperance, MI","9007 Lewis Ave, Temperance, MI 48182",Monroe County Bus Dev Corp(1),,,0,A,1
CHEYENNE BUS,Cheyenne Bus Co LLC,1,single,1,OK,OK,25,1061000,0,0,,1,0,0,,,Not Available,,"Tulsa, OK","701 S Cincinnati Ave, Tulsa, OK 74119",Cheyenne Bus Co LLC(1),,,0,A,1
OWASSO PUBLIC SCHOOLS TRANSPORTATION,Owasso Public Schools Trnsprtn,1,single,1,OK,OK,24,1061000,0,0,,1,0,0,,Owassops.Org,(918) 272-2231,Billy Oliver (Director),"Owasso, OK","1501 N Ash St, Owasso, OK 74055",Owasso Public Schools Trnsprtn(1),,,0,A,1
CAPITAL MOTOR LINES,Capital Motor Lines,1,single,1,AL,AL,12,1060000,0,0,,0,0,1,,Capitaltrailways.Com,Not Available,,"Montgomery, AL","520 N Court St, Montgomery, AL 36104",Capital Motor Lines(1),,,0,A,1
OZZIE WHICH WILL DO BUS,Ozzie Inc Which Will Do Bus,1,single,1,CA,CA,18,1060000,0,0,,1,0,0,,,Not Available,,"San Mateo, CA","1670 S Amphlett Blvd # 214-30, San Mateo, CA 94402",Ozzie Inc Which Will Do Bus(1),,,0,A,1
TERRIEN TRANSPORTATION,Terrien Transportation Inc,1,single,1,MA,MA,13,1060000,0,0,1987,0,0,1,,Kingward.Com,(413) 593-3939,Debra Z King (Vice President),"Chicopee, MA","70 Justin Dr, Chicopee, MA 01022",Terrien Transportation Inc(1),,,0,A,1
AROOSTOOK REGIONAL TRANSPORTATION,Aroostook Regional Trnsprtn,1,single,1,ME,ME,20,1059000,0,0,1979,0,1,0,,Aroostooktransportation.Org,(207) 764-1290,Daniel Donovan (Exec Director),"Presque Isle, ME","24 Houlton Rd, Presque Isle, ME 04769",Aroostook Regional Trnsprtn(1),,,0,A,1
WADSWORTH CITY SCHOOL TRANSPORTATION,Wadsworth City Sch Trnsprtn,1,single,1,OH,OH,31,1059000,0,0,,1,0,0,,Wadsworth.K12.Oh.Us,Not Available,,"Wadsworth, OH","357 Sunset Blvd, Wadsworth, OH 44281",Wadsworth City Sch Trnsprtn(1),,,0,A+,1
ALL STATE LINES,All State Lines Inc,1,single,1,WI,WI,13,1059000,0,0,,0,0,1,,,(262) 895-4900,Larry King (Owner),"Waterford, WI","7932 Scenic View Dr, Waterford, WI 53185",All State Lines Inc(1),,,0,A,1
CHAFFEE EXECUTIVE LUXURY,Chaffee Executive-Luxury,1,single,1,WI,WI,12,1059000,0,0,1978,0,0,1,,Chaffeelimo.Com,(414) 541-0121,Karen Chaffee (Owner),"Milwaukee, WI","11430 W Lincoln Ave, Milwaukee, WI 53227",Chaffee Executive-Luxury(1),,,0,A,1
BELLYS PARTY RVS,Bellys Party RVS,1,single,1,IN,IN,11,1058000,0,0,,0,0,1,,,(513) 520-1116,Gary Trabel (Owner),"Lawrenceburg, IN","21412 Georgetown Rd, Lawrenceburg, IN 47025",Bellys Party RVS(1),,,0,A,1
CLUB FORTY TRAVEL,Club Forty Travel,1,single,1,NJ,NJ,11,1058000,0,0,,0,0,1,,,(856) 258-6460,,"Blackwood, NJ","5 Fox Chase Dr, Blackwood, NJ 08012",Club Forty Travel(1),,,0,A,1
HILLMAN S BUS SERVICE,Hillman's Bus Svc Inc,1,single,1,NJ,NJ,11,1058000,0,0,,0,0,1,,,(856) 429-7409,,,,Hillman's Bus Svc Inc(1),,,0,A,1
LION LIMOUSINE BUS TOUR SERVICE,Lion Limousine & Bus Tour Svc,1,single,1,NJ,NJ,11,1058000,0,0,,0,0,1,,,(856) 354-8404,,,,Lion Limousine & Bus Tour Svc(1),,,0,A,1
SOUTHWEST CARRIAGE,Southwest Carriage,1,single,1,NM,NM,11,1058000,0,0,,0,0,1,,,(505) 771-3739,Johnny Johnson (Manager),"Bernalillo, NM","118 W Calle Montoya, Bernalillo, NM 87004",Southwest Carriage(1),,,0,A,1
BROWN COACH,Brown Coach Inc,1,single,1,NY,NY,11,1058000,0,0,,0,0,1,,Browncoach.Com,(518) 843-4700,Robert E Brown (CEO),"Amsterdam, NY","50 Venner Rd, Amsterdam, NY 12010",Brown Coach Inc(1),,,0,A,1
FEDERAL WAY PUBC SCHOOL TRANSPORTATION,Federal Way Pubc Sch Trnsprtn,1,single,1,WA,WA,20,1058000,0,0,,1,0,0,,,(253) 830-6315,,"Federal Way, WA","1066 S 320th St, Federal Way, WA 98003",Federal Way Pubc Sch Trnsprtn(1),,,0,A,1
KEVLAR EXPRESS TRANSIT,Kevlar Express Transit LLC,1,single,1,IL,IL,14,1057000,0,0,,0,1,0,,Southhollandtransportation.Com,(708) 365-4260,,"Chicago, IL","7945 S Throop St, Chicago, IL 60620",Kevlar Express Transit LLC(1),,,0,B+,1
THOMAS JERRY,Thomas Jerry,1,single,1,IL,IL,14,1057000,0,0,,0,1,0,,,Not Available,,"Chicago, IL","5740 S Emerald Ave, Chicago, IL 60621",Thomas Jerry(1),,,0,B+,1
HIS USA WHICH WILL DO BUS,His USA Inc Which Will Do Bus,1,single,1,OH,OH,23,1057000,0,0,,1,0,0,,Hishairclinic.Com,Not Available,,"Columbus, OH","23 Norton Rd, Columbus, OH 43228",His USA Inc Which Will Do Bus(1),,,0,A,1
NORTH PENN SCHOOL DISTRICT TRANSPORTATION,North Penn Sch Dist Trnsprtn,1,single,1,OH,OH,23,1057000,0,0,,1,0,0,,Shawnayamamoto.Com,Not Available,,"Columbus, OH","2323 Performance Way, Columbus, OH 43207",North Penn Sch Dist Trnsprtn(1),,,0,A,1
DEPOT BUS STATION,Depot-Bus Station,1,single,1,PA,PA,31,1057000,0,0,,1,0,0,,,Not Available,John M Hess (Other),"Indiana, PA","400 Philadelphia St, Indiana, PA 15701",Depot-Bus Station(1),,,0,A+,1
SCHOOL BUS DRIVERS,School Bus Drivers Inc,1,single,1,PA,PA,31,1057000,0,0,,1,0,0,,,Not Available,,"Blairsville, PA","Road 1 Box 622b, Blairsville, PA 15717",School Bus Drivers Inc(1),,,0,A+,1
NATIONAL CHARTER BUS DENVER,National Charter Bus Denver,1,single,1,CO,CO,10,1056000,0,0,2017,0,0,1,,Nationalbuscharter.Com,(303) 317-3208,Wilson Gonzales (Manager),"Denver, CO","1859 York St, Denver, CO 80206",National Charter Bus Denver(1),,,0,B+,1
TWIN CITIES PARTY BUS,Twin Cities Party Bus,1,single,1,MN,MN,10,1056000,0,0,,0,0,1,,,(952) 564-9572,Randi Aroz (Owner),"Minneapolis, MN","2218 Snelling Ave, Minneapolis, MN 55404",Twin Cities Party Bus(1),,,0,A,1
FIDELITY MOTOR BUS LINES,Fidelity Motor Bus Lines Inc,1,single,1,OH,OH,10,1056000,0,0,,0,0,1,,,(330) 833-7700,,"Massillon, OH","155 Lincoln Way W, Massillon, OH 44647",Fidelity Motor Bus Lines Inc(1),,,0,A,1
PENNSYLVANIA SMALL BUS DEV CTR,Pennsylvania Small Bus Dev Ctr,1,single,1,PA,PA,22,1056000,0,0,,1,0,0,,,(215) 898-1219,,"Philadelphia, PA","3733 Spruce St, Philadelphia, PA 19104",Pennsylvania Small Bus Dev Ctr(1),,,0,A,1
RINGGOLD SCHOOL TRANSPORTATION,Ringgold School Transportation,1,single,1,PA,PA,26,1056000,0,0,,1,0,0,,Ringgold.Org,(724) 258-5709,Chris Snyder (Director),"Finleyville, PA","46 Ginger Hill Rd, Finleyville, PA 15332",Ringgold School Transportation(1),,,0,A,1
CENTRAL SOUTH TX MINORITY BUS,Central-SOUTH TX Minority Bus,1,single,1,TX,TX,10,1056000,0,0,,0,0,1,,,(210) 525-7925,,"San Antonio, TX","8000 W Interstate 10, San Antonio, TX 78230",Central-SOUTH TX Minority Bus(1),,,0,B+,1
ATLANTIC COAST CAB,Atlantic Coast Cab Co Inc,1,single,1,VA,VA,10,1056000,0,0,,0,0,1,,Kyosei-Ltd.Com,(757) 368-0505,Kevin Lucash (President),"Virginia Beach, VA","5569 Princess Anne Rd, Virginia Beach, VA 23462",Atlantic Coast Cab Co Inc(1),,,0,A,1
NATIS SHUTTLE NOGALES,Natis Shuttle Nogales,1,single,1,AZ,AZ,14,1055000,0,0,,0,0,1,,,(520) 287-8888,Nativido Lopez (Owner),"Nogales, AZ","266 W Mix St, Nogales, AZ 85621",Natis Shuttle Nogales(1),,,0,A,1
HAPPY RAINBOW,Happy Rainbow Inc,1,single,1,CA,CA,10,1055000,0,0,,0,0,1,,Happyrainbowbooks.Com,(510) 675-0835,Tom Liu (Manager),"Union City, CA","29300 Kohoutek Way # 180, Union City, CA 94587",Happy Rainbow Inc(1),,,0,A,1
TIP TRUCKING BUSING,Tip Trucking & Busing,1,single,1,LA,LA,18,1055000,0,0,,0,1,0,,,(985) 652-7546,Tracy Peterson (Owner),"La Place, LA","421 E Airline Hwy, La Place, LA 70068",Tip Trucking & Busing(1),,,0,B+,1
SCHUCK SCHOOL BUS SERVICE,Schuck School Bus Svc LLC,1,single,1,MN,MN,34,1055000,0,0,,1,0,0,,,Not Available,Mark Schuck (Manager),"Moorhead, MN","1620 29th Ave S, Moorhead, MN 56560",Schuck School Bus Svc LLC(1),,,0,A+,1
AZALEA LIMOUSINE SERVICE,Azalea Limousine Svc,1,single,1,NC,NC,15,1055000,0,0,2000,0,0,1,,Azalealimo.Com,(910) 452-5888,Russell Byrd (Owner),"Winnabow, NC","1240 Liberty Landing Rd SE, Winnabow, NC 28479",Azalea Limousine Svc(1),,,0,A+,1
GANANDA CENTRAL SCHOOLS TRANSPORTATION,Gananda Central Schools Trans,1,single,1,NY,NY,30,1055000,0,0,,1,0,0,,Gananda.Org,(315) 986-4278,Alexandra Mapes (Manager),"Macedon, NY","2067 Oneil Rd, Macedon, NY 14502",Gananda Central Schools Trans(1),,,0,A+,1
RUSH BUS CTR,Rush Bus Ctr,1,single,1,TX,TX,23,1055000,0,0,,1,0,0,,Rmhc.Org,Not Available,,"Converse, TX","8511 Interstate 10 E, Converse, TX 78109",Rush Bus Ctr(1),,,0,A+,1
LAIDBACK TRANSPORT SERVICE,Laidback Transport Svc Inc,1,single,1,AZ,AZ,14,1054000,0,0,,0,1,0,,,(602) 957-2800,Tim Johnson (Manager),"Phoenix, AZ","2525 E Jefferson St, Phoenix, AZ 85034",Laidback Transport Svc Inc(1),,,0,B+,1
