rank,score,canonical_name,primary_state,hq,size_tier,locations,employees,revenue_est,year_established,school,special_needs,website,phone,lead_exec,credit_score,data_confidence,rationale,sample_address,_sf,_su,_ql,_ind,_rel
1,98.5,Northstar Bus Lines LLC,MN,"Maple Grove, MN",single,1,200,10161000,1962,1,0,Northstarbuslines.Com,(763) 425-2542,Matt Regan (Owner),A+,1.0,200 emp; $10.2M rev; est 1962 (64y); single; web+phone; school,"11800 95th Ave N, Maple Grove, MN 55369",100,100,100,100,90
2129,74.5,Nache Valley Schl Dist Trans,WA,"Naches, WA",single,1,18,667000,,1,0,,(509) 453-2434,Tim Bentz (Director),A,0.5,18 emp; $0.7M rev; year n/a; single; phone; school,"27 Shafer Ave, Naches, WA 98937",80,50,60,100,90
2130,74.5,B P & B M Sch Bus Trnsprtn Crp,MA,"Brockton, MA",single,1,17,666000,,1,0,,Not Available,Bernadette Fleury (President),A,0.5,17 emp; $0.7M rev; year n/a; single; phone; school,"53 Oak Ridge Dr W, Brockton, MA 02301",80,50,60,100,90
2131,74.5,Cumberland Bus Svc Inc,WI,"Cumberland, WI",single,1,20,665000,,1,0,,(715) 822-2348,John Peichel (Owner),A+,0.5,20 emp; $0.7M rev; year n/a; single; phone; school,"1750 Industrial Ave, Cumberland, WI 54829",80,50,60,100,90
2132,74.5,Wilou Transit Svc Inc,NY,"Peekskill, NY",single,1,13,663000,,1,0,,(914) 734-8412,,A,0.5,13 emp; $0.7M rev; year n/a; single; phone; school,"904 Lyman Ave, Peekskill, NY 10566",80,50,60,100,90
2133,74.5,Red Barn Films Inc Which Will,OK,"Tulsa, OK",single,1,15,663000,,1,0,,Not Available,,A,0.5,15 emp; $0.7M rev; year n/a; single; phone; school,"1350 S Boulder Ave # 400, Tulsa, OK 74119",80,50,60,100,90
2134,74.5,Davis Truck & Bus Of Mi LLC,MI,"Marshall, MI",single,1,15,646000,,1,0,,Not Available,,A,0.5,15 emp; $0.6M rev; year n/a; single; phone; school,"14583 A Dr S, Marshall, MI 49068",80,50,60,100,90
2135,74.5,Triomphe Midtown Bus Office,OR,"Eugene, OR",single,1,16,646000,,1,0,,(541) 485-6242,,A,0.5,16 emp; $0.6M rev; year n/a; single; phone; school,"1591 Willamette St, Eugene, OR 97401",80,50,60,100,90
2136,74.5,At Your Svc Town Cars Inc,FL,,single,1,14,643000,,1,0,,(561) 852-9080,,A,0.5,14 emp; $0.6M rev; year n/a; single; phone; school,,80,50,60,100,90
2137,74.5,Valley Bus Svc,PA,"Sayre, PA",single,1,19,638000,,1,0,,Not Available,,A,0.5,19 emp; $0.6M rev; year n/a; single; phone; school,"150 Desmond St, Sayre, PA 18840",80,50,60,100,90
2138,74.5,Bruk Transportation LLC,NH,"Piermont, NH",single,1,31,633000,,1,0,,Not Available,,A+,0.5,31 emp; $0.6M rev; year n/a; single; phone; school,"73 Route 10, Piermont, NH 03779",80,50,60,100,90
2139,74.5,California Sightseeing Tours,CA,"San Francisco, CA",single,1,15,630000,,1,0,,(415) 647-9012,Mary Liljhal (Manager),A,0.5,15 emp; $0.6M rev; year n/a; single; phone; school,"2270 Jerrold Ave, San Francisco, CA 94124",80,50,60,100,90
2140,74.5,Havoc Inc Which Will Do Bus,CA,"Benicia, CA",single,1,15,630000,,1,0,,Not Available,,A,0.5,15 emp; $0.6M rev; year n/a; single; phone; school,"1592 London Cir, Benicia, CA 94510",80,50,60,100,90
2141,74.5,Hampton-Dumont Cmnty Sch,IA,"Hampton, IA",single,1,15,630000,,1,0,,(641) 456-2319,Dan Schipper (Director),A,0.5,15 emp; $0.6M rev; year n/a; single; phone; school,"1274 Olive Ave # A, Hampton, IA 50441",80,50,60,100,90
2142,74.5,D Verrett Bus Trnsprtn LLC,LA,"New Orleans, LA",single,1,12,629000,,1,0,,Not Available,Darryl Verrett Sr (Other),A,0.5,12 emp; $0.6M rev; year n/a; single; phone; school,"4480 Gen Degaulle Dr # 211, New Orleans, LA 70131",80,50,60,100,90
2143,74.5,Bryan School Bus Line Inc,PA,"Prospect, PA",single,1,17,629000,,1,0,,Not Available,,A,0.5,17 emp; $0.6M rev; year n/a; single; phone; school,"Road 1, Prospect, PA 16052",80,50,60,100,90
2144,74.5,School Transit Inc,PA,"Johnstown, PA",single,1,18,626000,,1,0,,Not Available,,A,0.5,18 emp; $0.6M rev; year n/a; single; phone; school,"721 Westinghouse Ave, Johnstown, PA 15905",80,50,60,100,90
2145,74.5,Faust Stephen E MD Bus Ofc,MD,"Annapolis, MD",single,1,14,625000,,1,0,,(410) 268-7382,,A,0.5,14 emp; $0.6M rev; year n/a; single; phone; school,"2000 Medical Pkwy, Annapolis, MD 21401",80,50,60,100,90
2146,74.5,Queen Bee Business Co Inc,NY,"Brooklyn, NY",single,1,16,625000,,1,0,,(718) 444-1112,,A,0.5,16 emp; $0.6M rev; year n/a; single; phone; school,"2440 E 64th St, Brooklyn, NY 11234",80,50,60,100,90
2147,74.5,Working Group 1 LTD Which Will,NY,"Brooklyn, NY",single,1,16,625000,,1,0,,Not Available,,A,0.5,16 emp; $0.6M rev; year n/a; single; phone; school,"45 India St # 3r, Brooklyn, NY 11222",80,50,60,100,90
2148,74.5,Pride Transportation Bus Svc,MN,"Saint Paul, MN",single,1,14,624000,,1,0,,Not Available,,A,0.5,14 emp; $0.6M rev; year n/a; single; phone; school,"45 Ivy Avenue Usa, Saint Paul, MN 55117",80,50,60,100,90
2149,74.5,District Of Columbia Trnsprtn,MD,"Bethesda, MD",single,1,12,623000,,1,0,,(703) 859-1199,,A,0.5,12 emp; $0.6M rev; year n/a; single; phone; school,"7600 Whittier Blvd, Bethesda, MD 20817",80,50,60,100,90
2150,74.5,Everyday Wireless Inc,PA,"Sinking Spring, PA",single,1,15,607000,,1,0,,(610) 678-2100,,A,0.5,15 emp; $0.6M rev; year n/a; single; phone; school,"2917 Windmill Rd, Sinking Spring, PA 19608",80,50,60,100,90
2151,74.5,Behavior Management,OH,"Portsmouth, OH",single,1,18,605000,,1,0,,(740) 353-0667,Andy Wright (Principal),A,0.5,18 emp; $0.6M rev; year n/a; single; phone; school,"2623 Gallia St, Portsmouth, OH 45662",80,50,60,100,90
2152,74.5,Green School Trnsprtn Inc,CA,"Compton, CA",single,1,12,602000,,1,0,,Not Available,Cesar R Flores (Manager),A,0.5,12 emp; $0.6M rev; year n/a; single; phone; school,"PO Box 4757, Compton, CA 90224",80,50,60,100,90
2153,74.5,Ocean Transportation & Rental,MA,"Lawrence, MA",single,1,14,602000,,1,0,,(978) 965-2265,,A,0.5,14 emp; $0.6M rev; year n/a; single; phone; school,"90 Broadway, Lawrence, MA 01840",80,50,60,100,90
2154,74.5,Palmer Bus Svc Of Lakeview Inc,MN,"Cottonwood, MN",single,1,20,601000,,1,0,,(507) 423-6080,Coreen Allford (Manager),A,0.5,20 emp; $0.6M rev; year n/a; single; phone; school,"305 E 4th St, Cottonwood, MN 56229",80,50,60,100,90
2155,74.5,Turkeyfoot Transport Inc,PA,"Confluence, PA",single,1,20,601000,,1,0,,(814) 395-5996,David Suder (Owner),A,0.5,20 emp; $0.6M rev; year n/a; single; phone; school,"820 Casselman St, Confluence, PA 15424",80,50,60,100,90
2156,74.5,Bay Terrace Transit Corp,NY,"New Hyde Park, NY",single,1,15,600000,,1,0,,(718) 831-8623,,A,0.5,15 emp; $0.6M rev; year n/a; single; phone; school,"7918 269th St, New Hyde Park, NY 11040",80,50,60,100,90
2157,74.5,Blue Boy Bus Trnsprtn Co Inc,NY,"New York, NY",single,1,15,599000,,1,0,,Not Available,,A,0.5,15 emp; $0.6M rev; year n/a; single; phone; school,"42 E Broadway, New York, NY 10002",80,50,60,100,90
2158,74.5,Ohio Power Co Bus Ofc Power Co,OH,"Lancaster, OH",single,1,17,595000,,1,0,,(800) 445-7809,,A,0.5,17 emp; $0.6M rev; year n/a; single; phone; school,"133 S Broad St, Lancaster, OH 43130",80,50,60,100,90
2159,74.5,Rassier School Bus Svc Inc,MN,"Hill City, MN",single,1,10,591000,,1,0,,(218) 697-8139,Sandra Washburn (President),B+,0.5,10 emp; $0.6M rev; year n/a; single; phone; school,"36494 W County Line Rd, Hill City, MN 55748",80,50,60,100,90
2160,74.5,To & From School Trnsprtn LLC,CT,"Norwalk, CT",single,1,14,588000,,1,0,,Not Available,,A,0.5,14 emp; $0.6M rev; year n/a; single; phone; school,"31 Beau St, Norwalk, CT 06850",80,50,60,100,90
2161,74.5,Tampa Bay Intl Bus Council,FL,"Tampa, FL",single,1,14,588000,,1,0,,(813) 876-0311,,A,0.5,14 emp; $0.6M rev; year n/a; single; phone; school,"3630 W Kennedy Blvd, Tampa, FL 33609",80,50,60,100,90
2162,74.5,HD Development-MD Inc Which,GA,"Atlanta, GA",single,1,14,588000,,1,0,,Not Available,,A,0.5,14 emp; $0.6M rev; year n/a; single; phone; school,"2455 Paces Ferry Rd SE, Atlanta, GA 30339",80,50,60,100,90
2163,74.5,Teton Bus Svc Inc,MT,"Choteau, MT",single,1,14,588000,,1,0,,Not Available,,A,0.5,14 emp; $0.6M rev; year n/a; single; phone; school,"809 1st St NE, Choteau, MT 59422",80,50,60,100,90
2164,74.5,Virginia Beach City Pubc Sch,VA,"Virginia Beach, VA",single,1,14,588000,,1,0,,Not Available,,A,0.5,14 emp; $0.6M rev; year n/a; single; phone; school,"1677 Harpers Rd, Virginia Beach, VA 23454",80,50,60,100,90
2165,74.5,Workingmans Bus Svc Inc,PA,"Oil City, PA",single,1,18,584000,,1,0,,Not Available,,A,0.5,18 emp; $0.6M rev; year n/a; single; phone; school,"20 National Transit Bldg, Oil City, PA 16301",80,50,60,100,90
2166,74.5,M & C School Bus LLC,MA,"Everett, MA",single,1,12,583000,,1,0,,Not Available,,A,0.5,12 emp; $0.6M rev; year n/a; single; phone; school,"17 Freeman Ave, Everett, MA 02149",80,50,60,100,90
2167,74.5,Gary Aisquith Bus Lines Inc,MD,"Riva, MD",single,1,13,580000,,1,0,,(410) 956-2528,Gary Aisquith (Owner),A,0.5,13 emp; $0.6M rev; year n/a; single; phone; school,"3275 Riva Rd, Riva, MD 21140",80,50,60,100,90
2168,74.5,Kidsmobile Inc,OH,"Cleveland, OH",single,1,13,580000,,1,0,,(440) 871-9117,G Paul Malloch (Owner),A,0.5,13 emp; $0.6M rev; year n/a; single; phone; school,"26314 Center Ridge Rd, Cleveland, OH 44145",80,50,60,100,90
2169,74.5,Olivet Transportation,MI,"Olivet, MI",single,1,15,574000,,1,0,,(269) 749-4541,Sherry Sellen (Manager),B+,0.5,15 emp; $0.6M rev; year n/a; single; phone; school,"402 College St, Olivet, MI 49076",80,50,60,100,90
2170,74.5,Olson School & Charter Bus Svc,MN,"Moorhead, MN",single,1,18,559000,,1,0,,Not Available,,A,0.5,18 emp; $0.6M rev; year n/a; single; phone; school,"2139 100th Ave N Usa, Moorhead, MN 56560",80,50,60,100,90
2171,74.5,A Trinity Transportation,CA,,single,1,11,552000,,1,0,,(323) 855-7306,,A,0.5,11 emp; $0.6M rev; year n/a; single; phone; school,,80,50,60,100,90
2172,74.5,Huffer Bus Planning,CA,"San Pedro, CA",single,1,11,552000,,1,0,,(310) 832-7191,Hal Huffer (Other),A,0.5,11 emp; $0.6M rev; year n/a; single; phone; school,"225 N Ellery Dr, San Pedro, CA 90732",80,50,60,100,90
2173,74.5,Laita Corp,CA,,single,1,11,552000,,1,0,,(310) 536-0855,,A,0.5,11 emp; $0.6M rev; year n/a; single; phone; school,,80,50,60,100,90
2174,74.5,Kidz In Motion LLC,CT,"Hamden, CT",single,1,13,546000,,1,0,,(203) 909-6072,Anthony Jefferson (Owner),A,0.5,13 emp; $0.5M rev; year n/a; single; phone; school,"60 Connolly Pkwy # 11-214, Hamden, CT 06514",80,50,60,100,90
2175,74.5,M Squared Assoc Inc Which Will,NY,"New York, NY",single,1,13,546000,,1,0,,Not Available,,A,0.5,13 emp; $0.5M rev; year n/a; single; phone; school,"575 8th Ave # 1212, New York, NY 10018",80,50,60,100,90
2176,74.5,Vernon Enterprises Inc Which,ID,"Hayden, ID",single,1,15,542000,,1,0,,Not Available,,A,0.5,15 emp; $0.5M rev; year n/a; single; phone; school,"10212 N Taryne St, Hayden, ID 83835",80,50,60,100,90
2177,74.5,Msad 67,ME,"Lincoln, ME",single,1,15,542000,,1,0,,(207) 794-8578,Dave Ham (Director),A,0.5,15 emp; $0.5M rev; year n/a; single; phone; school,"53 Reed Dr, Lincoln, ME 04457",80,50,60,100,90
2178,74.5,City United Bus Inc,TX,"Arlington, TX",single,1,11,535000,,1,0,,Not Available,,A,0.5,11 emp; $0.5M rev; year n/a; single; phone; school,"6705 Pecanwood Dr, Arlington, TX 76001",80,50,60,100,90
2179,74.5,Peterson Bussing LLC,WI,"Merrill, WI",single,1,17,535000,,1,0,,(715) 536-1119,Steven Peterson (Owner),A,0.5,17 emp; $0.5M rev; year n/a; single; phone; school,"W4594 County Road G, Merrill, WI 54452",80,50,60,100,90
2180,74.5,Board Mntal Rtardation Bus Gar,OH,"Youngstown, OH",single,1,15,525000,,1,0,,(330) 797-2840,,A,0.5,15 emp; $0.5M rev; year n/a; single; phone; school,"4795 Woodridge Dr, Youngstown, OH 44515",80,50,60,100,90
2181,74.5,Grand Coulee Dam Sch Bus Grge,WA,"Coulee Dam, WA",single,1,18,524000,,1,0,,(509) 633-0651,George Davis (Manager),A,0.5,18 emp; $0.5M rev; year n/a; single; phone; school,"901 River Dr, Coulee Dam, WA 99116",80,50,60,100,90
2182,74.5,Safety Transportation,MA,"Lawrence, MA",single,1,12,516000,,1,0,,(978) 687-0586,Hugo Nunez (Owner),A,0.5,12 emp; $0.5M rev; year n/a; single; phone; school,"444 Canal St, Lawrence, MA 01840",80,50,60,100,90
2183,74.5,Merry-Go-Round Transportation,NJ,"Fairfield, NJ",single,1,10,516000,,1,0,,(973) 882-8117,Iliana Frisk (Owner),A,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"124 Little Falls Rd # 15, Fairfield, NJ 07004",80,50,60,100,90
2184,74.5,A Town Bus Inc,PA,"Bethlehem, PA",single,1,12,516000,,1,0,,Not Available,,A,0.5,12 emp; $0.5M rev; year n/a; single; phone; school,"3 W Board St, Bethlehem, PA 18018",80,50,60,100,90
2185,74.5,Kids To & From School,NJ,,single,1,11,514000,,1,0,,(609) 835-9063,,A,0.5,11 emp; $0.5M rev; year n/a; single; phone; school,,80,50,60,100,90
2186,74.5,John Cardinal O'Connor School,NY,"Irvington, NY",single,1,10,510000,,1,0,,(914) 591-9330,Gene Humphries (Principal),A,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"16 N Broadway, Irvington, NY 10533",80,50,60,100,90
2187,74.5,Patten-Strickland Sch Bus Svc,FL,"Jacksonville, FL",single,1,11,506000,,1,0,,(904) 246-3085,Richard Patten (President),A,0.5,11 emp; $0.5M rev; year n/a; single; phone; school,"2056 Featherwood Dr W, Jacksonville, FL 32233",80,50,60,100,90
2188,74.5,Central States Bus Sales Inc,IL,"Big Rock, IL",single,1,11,505000,,1,0,,Not Available,,B+,0.5,11 emp; $0.5M rev; year n/a; single; phone; school,"45w487 Bergman Dr, Big Rock, IL 60511",80,50,60,100,90
2189,74.5,White Plains Bus Co & Suburban,CT,"Old Greenwich, CT",single,1,12,504000,,1,0,,(203) 861-2222,,A,0.5,12 emp; $0.5M rev; year n/a; single; phone; school,"115 Laddins Rock Rd, Old Greenwich, CT 06870",80,50,60,100,90
2190,74.5,JD Padilla School Bus LLC,NM,"Quemado, NM",single,1,12,504000,,1,0,,Not Available,Joy D Padilla (Manager),A,0.5,12 emp; $0.5M rev; year n/a; single; phone; school,"13 MI W 2 MI N Of Quemado On H, Quemado, NM 87829",80,50,60,100,90
2191,74.5,Casebook PBC Which Will Do Bus,NY,"New York, NY",single,1,12,504000,,1,0,,Not Available,,A,0.5,12 emp; $0.5M rev; year n/a; single; phone; school,"244 5th Ave # T248, New York, NY 10001",80,50,60,100,90
2192,74.5,Muccio School Trnsprtn LLC,PA,"Saint Marys, PA",single,1,12,504000,,1,0,,Not Available,,A,0.5,12 emp; $0.5M rev; year n/a; single; phone; school,"74 Ceramic St, Saint Marys, PA 15857",80,50,60,100,90
2193,74.5,Weston Transportation Svc,WI,"Cazenovia, WI",single,1,13,504000,,1,0,,(608) 983-2345,Don Zimmerman (Owner),A,0.5,13 emp; $0.5M rev; year n/a; single; phone; school,"E2511 County Road S # A, Cazenovia, WI 53924",80,50,60,100,90
2194,74.5,Antelope Valley Sch Bus Trnst,CA,"Lancaster, CA",single,1,10,502000,,1,0,,(661) 940-4551,,A,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"670 7th St W, Lancaster, CA 93534",80,50,60,100,90
2195,74.5,Drivers Local LLC,CA,"Irwindale, CA",single,1,10,502000,,1,0,,Not Available,,A,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"5312 Irwindale Ave # 1h, Irwindale, CA 91706",80,50,60,100,90
2196,74.5,Edison Truck & Bus Drivin,CA,"Long Beach, CA",single,1,10,502000,,1,0,,(562) 988-8700,,A,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"2760 E Spring St, Long Beach, CA 90806",80,50,60,100,90
2197,74.5,Fujitsu Bus Comm Systems Inc,CA,"Anaheim, CA",single,1,10,502000,,1,0,,(714) 630-7721,,B+,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"3190 E Miraloma Ave, Anaheim, CA 92806",80,50,60,100,90
2198,74.5,Mt Rubidoux Bus Ctr LLC,CA,"Signal Hill, CA",single,1,11,502000,,1,0,,(562) 248-0230,,A,0.5,11 emp; $0.5M rev; year n/a; single; phone; school,"1962 Freeman Ave, Signal Hill, CA 90755",80,50,60,100,90
2199,74.5,Rancbo Vista Bus Resources,CA,"Palmdale, CA",single,1,10,502000,,1,0,,(661) 722-3741,,A,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"3842 Grandview Dr, Palmdale, CA 93551",80,50,60,100,90
2200,74.5,Sr Bus Affairs Mgr,CA,"Los Angeles, CA",single,1,10,502000,,1,0,,(310) 215-9009,,A,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"6300 Arizona Cir, Los Angeles, CA 90045",80,50,60,100,90
2201,74.5,Transportation-Our Children,CA,"Los Angeles, CA",single,1,10,502000,,1,0,,(323) 934-8462,,A,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"4841 Saturn St, Los Angeles, CA 90019",80,50,60,100,90
2202,74.5,Beckwith Buses,PA,"Port Matilda, PA",single,1,14,497000,,1,0,,(814) 692-8206,Mort Snider (Other),A,0.5,14 emp; $0.5M rev; year n/a; single; phone; school,"92 Bell Hollow Ln, Port Matilda, PA 16870",80,50,60,100,90
2203,74.5,Monta Bella School,MI,"Blanchard, MI",single,1,15,490000,,1,0,,(989) 427-5024,Shelly Millis (Manager),B+,0.5,15 emp; $0.5M rev; year n/a; single; phone; school,"1456 E North County Line Rd, Blanchard, MI 49310",80,50,60,100,90
2204,74.5,Council School Bus Corp,MS,"Jackson, MS",single,1,12,486000,,1,0,,Not Available,Hugh E Jones (Other),A,0.5,12 emp; $0.5M rev; year n/a; single; phone; school,"3543 Old Brandon Rd, Jackson, MS 39208",80,50,60,100,90
2205,74.5,Downs & Downs Tng LLC,MD,"Chesapeake Beach, MD",single,1,12,484000,,1,0,,(410) 257-7155,Bowie Downs (Owner),A,0.5,12 emp; $0.5M rev; year n/a; single; phone; school,"4010 11th St, Chesapeake Beach, MD 20732",80,50,60,100,90
2206,74.5,Spiker Bus Lines Inc,PA,"Gibbon Glade, PA",single,1,14,483000,,1,0,,(724) 329-4616,Thomas W Spiker (Treasurer),A,0.5,14 emp; $0.5M rev; year n/a; single; phone; school,"848 Gibbon Glade Rd, Gibbon Glade, PA 15440",80,50,60,100,90
2207,74.5,Gary James Transport LTD,WI,"Gillett, WI",single,1,15,482000,,1,0,,(920) 855-6447,Richard Rademann (Owner),A,0.5,15 emp; $0.5M rev; year n/a; single; phone; school,"203 W Park St, Gillett, WI 54124",80,50,60,100,90
2208,74.5,Mellor's Bus Svc,MD,"Columbia, MD",single,1,10,476000,,1,0,,(410) 531-6033,Annette Mellor (Owner),A,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"8040 Harriet Tubman Ln, Columbia, MD 21044",80,50,60,100,90
2209,74.5,Specialty Transportation,CT,,single,1,11,462000,,1,0,,(860) 953-3000,,B+,0.5,11 emp; $0.5M rev; year n/a; single; phone; school,,80,50,60,100,90
2210,74.5,Best Choice Bus Trading Inc,FL,"Boca Raton, FL",single,1,10,459000,,1,0,,Not Available,Fernanda F Silva (Owner),A,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"9710 Alaska Cir, Boca Raton, FL 33434",80,50,60,100,90
2211,74.5,All In One Complete Bus Svc,TN,"Memphis, TN",single,1,10,456000,,1,0,,(901) 743-3909,Theresa Harris (Owner),A,0.5,10 emp; $0.5M rev; year n/a; single; phone; school,"2906 Lamar Ave # 1, Memphis, TN 38114",80,50,60,100,90
2212,74.5,Wendorf Bus Svc Inc,WI,"Merrill, WI",single,1,14,440000,,1,0,,(715) 539-8121,David Wendorf (Owner),A,0.5,14 emp; $0.4M rev; year n/a; single; phone; school,"N745 County Rd W, Merrill, WI 54452",80,50,60,100,90
2213,74.5,Lenas Bus Mgt & Hsing Con,TX,"Corpus Christi, TX",single,1,10,437000,,1,0,,(361) 857-7729,Lena Coleman (Owner),A,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"PO Box 5907, Corpus Christi, TX 78465",80,50,60,100,90
2214,74.5,Voges Services Inc,IL,"Coulterville, IL",single,1,15,432000,,1,0,,(618) 758-2425,Morris Voges (Owner),A,0.5,15 emp; $0.4M rev; year n/a; single; phone; school,"10516 State Route 153, Coulterville, IL 62237",80,50,60,100,90
2215,74.5,Evans Group Action Bus Coach,MI,"Byron Center, MI",single,1,10,432000,,1,0,,(616) 530-9300,William Evans (Owner),B+,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"2136 Pleasant Pond Dr SW, Byron Center, MI 49315",80,50,60,100,90
2216,74.5,Monroe Bus Lines Inc,NY,"Brooklyn, NY",single,1,11,430000,,1,0,,Not Available,,A,0.5,11 emp; $0.4M rev; year n/a; single; phone; school,"1272 E 5th St, Brooklyn, NY 11230",80,50,60,100,90
2217,74.5,Northeast Pennsylvania Bus,PA,"Kingston, PA",single,1,11,425000,,1,0,,(570) 283-9271,,A,0.5,11 emp; $0.4M rev; year n/a; single; phone; school,"3rd Ave, Kingston, PA 18704",80,50,60,100,90
2218,74.5,Allstar Transportation LLC,CT,"Poquonock, CT",single,1,10,420000,,1,0,,(860) 261-7660,,B+,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"16 School St, Poquonock, CT 06064",80,50,60,100,90
2219,74.5,Connect Kids Ct Inc,CT,"Waterbury, CT",single,1,10,420000,,1,0,,(203) 725-3464,Latoya Ravaliere (Manager),B+,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"150 E Aurora St, Waterbury, CT 06708",80,50,60,100,90
2220,74.5,Greenwich Country Day Sch Inc,CT,,single,1,10,420000,,1,0,,(203) 863-5602,,B+,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,,80,50,60,100,90
2221,74.5,Iowa Falls Cmnty Sch Trnsprtn,IA,"Iowa Falls, IA",single,1,10,420000,,1,0,,(641) 648-6405,Rob Caruth (Director),A,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"815 Cadet Rd, Iowa Falls, IA 50126",80,50,60,100,90
2222,74.5,Easters Auto & Bus Sale,VA,"Bassett, VA",single,1,10,420000,,1,0,,(276) 629-4736,,A,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"8100 Fairystone Park Hwy, Bassett, VA 24055",80,50,60,100,90
2223,74.5,Wvbe-Vibe 100 Bus Ofc 100 Bus,VA,,single,1,10,420000,,1,0,,(540) 477-1000,,B+,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,,80,50,60,100,90
2224,74.5,Abramson Enterprises Inc,VI,"Frederiksted, VI",single,1,10,420000,,1,0,,(340) 772-0359,Rupert Aberson (President),U,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"2829 Hannahs Rst, Frederiksted, VI 00840",80,50,60,100,90
2225,74.5,Southeastern Bus Co,MS,"Jackson, MS",single,1,10,417000,,1,0,,(803) 781-5889,,A,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"5483 I 55 S, Jackson, MS 39272",80,50,60,100,90
2226,74.5,Yellow Blue Bus LLC,WA,"Everett, WA",single,1,10,414000,,1,0,,Not Available,Jae Hong (Owner),B+,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"1411 Madrona Ave, Everett, WA 98203",80,50,60,100,90
2227,74.5,Chambers Bus Svc,DE,"Felton, DE",single,1,10,407000,,1,0,,(302) 284-9655,Betty Chambers (Owner),A,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"8964 S Dupont Hwy, Felton, DE 19943",80,50,60,100,90
2228,74.5,Bragg Lines,AL,"Fort Rucker, AL",single,1,12,395000,,1,0,,(334) 598-2041,Cynthia Willette (Manager),A,0.5,12 emp; $0.4M rev; year n/a; single; phone; school,"1426 Engineer Rd, Fort Rucker, AL 36362",80,50,60,100,90
2229,74.5,Debaere Bus Co,MN,"Prior Lake, MN",single,1,10,385000,,1,0,,(952) 447-5120,Mary DE Baere (Owner),A,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"17877 Panama Ave, Prior Lake, MN 55372",80,50,60,100,90
2230,74.5,Halifax County Bus Repair Shop,VA,"South Boston, VA",single,1,12,385000,,1,0,,(434) 572-4991,David Gull (Director),A,0.5,12 emp; $0.4M rev; year n/a; single; phone; school,"1030 Middle School Cir, South Boston, VA 24592",80,50,60,100,90
2231,74.5,East Springfield Trans,MA,"Springfield, MA",single,1,10,381000,,1,0,,(413) 781-4917,David Faita (Owner),A,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"558 Page Blvd, Springfield, MA 01104",80,50,60,100,90
2232,74.5,School Bus Rides LLC,OH,"Oberlin, OH",single,1,10,380000,,1,0,,Not Available,Samson Knight (Owner),B+,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"1451 Oberlin College, Oberlin, OH 44074",80,50,60,100,90
2233,74.5,Priester Bus Inc,MN,"Pipestone, MN",single,1,10,360000,,1,0,,(507) 825-3524,Jerry Priester (Owner),A,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"614 13th St SW, Pipestone, MN 56164",80,50,60,100,90
2234,74.5,Leland F Harris Inc,NY,"Lindley, NY",single,1,10,360000,,1,0,,(607) 523-8867,Larry B Harris (CEO),A,0.5,10 emp; $0.4M rev; year n/a; single; phone; school,"856 River Rd, Lindley, NY 14858",80,50,60,100,90
2235,74.5,Sue's Bus Svc,MN,"Bock, MN",single,1,10,320000,,1,0,,(320) 556-3482,Susan J Westling (CEO),A,0.5,10 emp; $0.3M rev; year n/a; single; phone; school,"1686 Church Ave, Bock, MN 56313",80,50,60,100,90
2236,74.5,Berlington Transporting,PA,"Benton, PA",single,1,10,317000,,1,0,,(570) 925-6515,Tom Berlington (Owner),B+,0.5,10 emp; $0.3M rev; year n/a; single; phone; school,"4350 Red Rock Rd, Benton, PA 17814",80,50,60,100,90
2237,74.2,Virginia Medical Transport Inc,VA,"Roanoke, VA",single,1,12,946000,2009,0,1,,(540) 342-8838,Judy T Nuckolls (Owner),B+,0.75,12 emp; $0.9M rev; est 2009 (17y); single; phone; special-needs,"3629 Franklin Rd SW # B205a, Roanoke, VA 24014",80,60,60,100,75
