rank,name,state,ownership_type,owner_or_parent,principals,succession_signal,founded_year,fleet_size_est,employees_est,service_types,districts_or_customers,recent_news,website,confidence,fit_notes
1306,Gary Aisquith Bus Lines Inc,MD,family-owned,independent,Gary Aisquith (Owner/President),medium,2009,,13,"[""school"", ""charter""]","Anne Arundel County Public Schools area (Riva/South County); note AACPS prime contracts in this geography are held by Annapolis Bus Company and R.E. Wilson (both owned by Student Transportation of America), so Aisquith likely operates charter / activity / private-school runs rather than a major district route package",BBB A+ rating (non-accredited); BBB file opened 2012 with one minor complaint (bed-bug allegation on a bus). No M&A activity. Surrounding AACPS market saw a 2025 bus-driver contract / strike-vote process at STA-owned vendors.,,medium,"Eponymous family-owned charter/school bus operator in Anne Arundel County - small (~13 employees) but operates inside Summit's MD footprint and in a market dominated by STA. Limited tuck-in scale on its own, but useful as a bolt-on if Summit is building a MD/DC capital-region charter+SPED cluster; reachable owner-operator with likely succession appetite."
1314,Merry-Go-Round Transportation,NJ,family-owned,independent,"[""Iliana Frisk (President/Owner)""]",medium,1995,,10,"[""school bus"", ""charter"", ""bus rental""]",[],"NJ-incorporated 1995, small family-owned operator at 124 Little Falls Rd, Fairfield NJ. Listed as school bus transportation plus charter/motorcoach. No M&A or news activity found.",https://merry-go-round-nj-3.hub.biz/,medium,"30+ year-old NJ family operator with female President - potential succession candidate. Very small scale (~10 employees, ~$516K rev). Essex County NJ overlaps Summit's Northeast footprint. Likely too small for primary tuck-in, but bolt-on to a larger NJ acquisition could absorb routes. Charter/rental mix dilutes pure-school-bus appeal."
1320,Downs & Downs Tng LLC,MD,family-owned,independent,"[""Bowie Downs""]",high,1965,7,12,"[""school""]","[""Calvert County Public Schools""]",Long-standing Calvert County independent school bus contractor (est. 1965); operates from Chesapeake Beach MD with secondary listing in Prince Frederick MD. No M&A or news activity found.,,medium,"Classic 60-year-old family operator in the Calvert County contractor system - exactly the small/aging-owner tuck-in profile Summit targets. Succession risk is high (founded 1965, single principal Bowie Downs). Sub-scale (~7 buses) so financially marginal alone, but attractive when bundled with other Maryland MSBCA contractors as part of a Maryland-Delaware roll-up around the existing Calvert/Charles/St. Mary's contractor pool."
1321,Mellor's Bus Svc,MD,family-owned,independent,"[""Annette Mellor""]",high,1987,10,10,"[""school"", ""charter""]","[""Howard County Public School System (HCPSS)""]",Women-owned HCPSS contractor since 1987; holds HCPSS contract for school bus service supporting athletic and allied sports activities; also offers charter service.,,medium,"Small (~10 employee) WBE Howard County contractor with charter add-on; 39 years in business under single owner Annette Mellor - succession profile is favorable. HCPSS uses an independent-contractor model with dozens of small operators, making Mellor's a credible bolt-on in a Maryland mini-rollup. Needs deeper fleet/route count and contract renewal date diligence before sizing."
1323,Voges Services Inc,IL,family-owned,independent,Morris Voges (Owner),high,1984,~5-10,15,"[""school""]","Likely small rural Randolph County, IL school districts around Coulterville; specific district contracts not publicly disclosed",No M&A or news of note; long-running single-owner operator since 1984 per directory listings,,low,"Very small (~15 employees, <$500K rev) single-owner rural IL operator with founder (Morris Voges) likely at/near retirement age (operating since 1984) — classic succession-driven tuck-in candidate, though scale is at the floor of what's worth a platform call."
1325,Allstar Transportation LLC,CT,family-owned,"All-Star Transportation LLC (Dufour family) — independent platform, NOT a tuck-in target",John Dufour (Founder/President); Dufour family ownership,low,2004,~900 vehicles (parent co.),~800+ (parent co.),"[""school"", ""special-needs"", ""charter""]","35 CT towns/cities across Litchfield, New Haven, and upper Fairfield counties; ~47,000 students/day; 18 terminals incl. Plymouth Terminal at 16 School St, Pequabuck CT 06781 (likely the address in the source record, mis-coded as Poquonock/06064)","Acquired Worhunsky Corp. of Plymouth, CT in 2014 (~120 vehicles, added Wolcott/Plymouth/Thomaston/Winchester). Teamsters Local 671 ratified first CBA at Waterbury yard in April 2025.",https://all-startransportation.com/,medium,"The source record's '16 School St / Poquonock' address almost certainly maps to All-Star Transportation's Plymouth Terminal (16 School St, Pequabuck CT 06781) — not an independent small operator. All-Star itself is a ~900-bus Dufour-family CT platform with its own acquisition program; it is a peer/competing consolidator, NOT a viable Summit tuck-in target. SKIP unless evidence emerges of a separate unrelated 'Allstar Transportation' entity at that address."
1329,Debaere Bus Co,MN,family-owned,independent,"[""Mary DeBaere""]",high,1975,8,10,"[""school""]","[""Prior Lake-Savage Area Schools (via Prior Lake School Bus Association)""]","Long-standing Prior Lake-area school bus contractor (since 1975). Operates as a member of the Prior Lake School Bus Association cooperative, which collectively serves PLSAS. Busse Student Transportation is the larger affiliated PLSAS provider.",,medium,Multigenerational MN family operator (50+ years) with single-district exposure via a cooperative association. Small fleet but classic succession profile; meaningful only as part of a roll-up of the Prior Lake association members (Busse + others).
1332,Sue's Bus Svc,MN,family-owned,independent,"[""Susan J. Westling""]",high,1958,27,30,"[""school"", ""charter""]","[""Local central MN districts (Milaca/Princeton area; specific contracts not disclosed)""]",Long-tenured (~66 years per ZoomInfo/Yelp) family-owned MN school bus operator. USDOT 945763 active. No M&A or ownership-change news found.,,medium,"Solid MN tuck-in candidate: 27-bus, ~30-driver family operator with 60+ year history and a female owner-operator (succession likely). Larger than the 10-employee universe field suggests. Worth direct outreach to Susan Westling; geography (Bock/Milaca corridor) complements MN platform builds."
1341,A B C School Bus Svc Inc,FL,family-owned,independent,"[""Luisa Hernandez (Owner)""]",unknown,2012,10,9,"[""school"", ""charter"", ""field trips""]","[""Miami-Dade County Public Schools (approved private bus service)""]","Active FMCSA DOT 2365128 carrier; website (abcschoolbus.com) markets the company as an approved Miami-Dade County Public Schools private bus service since 2012, providing school routes, field trips and charters in South Florida.",https://www.abcschoolbus.com/,medium,"Independent family-owned Miami-Dade approved private school-bus contractor; sub-scale (~$680K revenue, ~9 employees) but in an attractive Summit expansion market (FL). Possible bolt-on if combined with other South Florida micros; otherwise too small to standalone."
1342,Travel By Bus,FL,family-owned,independent,"[""Gunther Meyer (President)"", ""John (operations contact, john@travelbybususa.com)""]",unknown,,,5,"[""charter"", ""school field trips"", ""corporate"", ""weddings"", ""sports""]","[""Schools, corporations, sports teams and groups across East Coast/North America from South Florida base""]","Family-owned charter motorcoach operator headquartered in West Park, FL; website markets a 'new fleet of deluxe motorcoaches' for charters and school field trips. No district pupil-transport contracts identified; primary business is charter, not home-to-school routing.",https://www.travelbybususa.com/,medium,"Not a strong Summit-fit: this is a small (~5 employees, ~$364K revenue) charter motorcoach operator doing field-trip/charter work, not a district home-to-school contract operator. Pass for Summit's core route-contract thesis."
1343,Patten School Bus Svc Inc,FL,family-owned,independent,"[""James Richard Patten (Founder/President)"", ""A B Rock (related entity - Rock Transportation)""]",high,1972,12,15,"[""school bus"", ""charter"", ""field trips""]","[""Private schools in Jacksonville/Northeast FL area"", ""group event charters""]","Patten School Bus Co (founded 1972) appears closely linked to/operates under Rock Transportation (founded 1992, AB Rock); the listed website Rock-Transportation.Com points to Rock Transportation which serves 70+ private schools, St. Johns Middle School Athletic Assoc, and Nassau County School District with a 22-30+ bus fleet. Patten's founder James Patten has 40+ years experience; small standalone Patten entity (6 employees, ~$276K rev) suggests legacy/wind-down or shared back office with Rock.",pattentransportation.weebly.com (Rock-Transportation.com appears to be operating entity),medium,Long-tenured (1972) founder-led private school charter operator in Summit FL footprint; high succession signal given founder age and small scale. Likely best evaluated jointly with Rock Transportation (sister/successor entity) which has the actual fleet (22-30+ buses) and Nassau County district contract — that combined book could be a real tuck-in in Northeast FL.
1344,J & M Vera School Bus Svc Inc,FL,family-owned,independent,"[""Jose I. Vera (President)"", ""Magaly Vera (VP)"", ""Ania Vera (Chairman/Secretary)""]",medium,2001,8,6,"[""school bus"", ""field trips"", ""private door-to-door student transport""]","[""Miami-Dade County Public Schools (MDCPS certified)"", ""South Florida private schools""]",No M&A or material news identified. Active FL entity since Jan 2001; remains family-run by Vera family. USDOT registered (FMCSA SAFER profile).,veraschoolbus.com,medium,Tiny independent Miami-Dade MDCPS-certified family operator (Vera family) in Summit's FL footprint. Likely too small to be a standalone tuck-in but could be an add-on alongside a larger Miami-area acquisition; succession risk is moderate as second-gen Vera family is already involved.
1349,Pape School Bus Inc,WI,family-owned,independent,"[""Darin Pape (Owner/Officer)"", ""Pape family (since 1936)""]",medium,1936,"~74 power units (FMCSA), 111 drivers; operates fleet across three WI offices",115,"[""school"", ""charter"", ""special events"", ""corporate shuttle""]","Blair-Taylor, Eleva-Strum, Independence/SSPP, Whitehall, Durand-Arkansaw HS, Caddie Woodlawn Elementary, St. Mary's, Holy Rosary, Stratford School District, St. Joseph Catholic School","No M&A reported; FMCSA 2024 mileage ~783K, 'Satisfactory' safety rating (last reviewed 2006), zero crashes/OOS in trailing 24 months as of 2026. Operates from three Wisconsin offices (Independence, Durand-Arkansaw, Stratford).",https://papeschoolbusinc.godaddysites.com/,high,"Attractive WI tuck-in: 90-year family operator, ~74-bus fleet across 3 offices with ~10 district/parochial contracts, clean safety record. Multi-site footprint provides immediate scale in western WI where Summit/Durham historically has thin coverage."
1355,Taty School Bus,FL,family-owned,independent,Tatiana M. Ross (Owner / Registered Agent / Manager),medium,1999,very small (est. 2-5 vehicles based on 6 employees and small-tier classification),6,"Door-to-door school transportation, school excursions, summer camps; routes to Hialeah Gardens Elementary, Middle, and Senior High",Private/parent-pay routes serving Hialeah Gardens and West Hialeah schools (Hialeah Gardens Elementary/Middle/Senior High); Miami-Dade County,"DBA Tatiana Ross active since 2010 (FMCSA), Florida LLC re-formed 7/11/2023; family business marketed as 20+ years of school transportation experience; no M&A or ownership change identified.",https://tatyschoolbus.com/,medium,"Independent, family-run, single-owner Miami-Dade operator -- classic tuck-in profile but at micro scale (~$223K revenue, 6 employees). Word-of-mouth parent-pay book; 25+ year owner tenure suggests succession potential. Useful only as a small bolt-on to a larger South Florida platform footprint."
1358,ABC Transport School Bus LLC,FL,independent,independent,"[""Carmelo Oliveras (Manager)"", ""Carmelo Rivera (listed DBE owner, 3399 Boggy Creek Rd, Kissimmee)""]",unknown,2019,,21,"[""school""]","[""likely Osceola County / Kissimmee-area private school routes""]",Florida DOT DBE program record shows a decertification decision on ABC Transport School Bus LLC; otherwise no public M&A or news. Sunbiz LLC remains active.,,low,"Micro single-location operator (~21 employees, ~$0.9M rev) in Kissimmee/Osceola; DBE decertification is a yellow flag. Too small to be a standalone tuck-in but could be a bolt-on driver/route acquisition for an existing Summit Florida footprint."
1360,Carlos & Maty School Bus LLC,FL,family-owned,independent,"[""Matilde 'Maty' (Manager)"", ""Carlos (implied co-principal)""]",unknown,2023,,18,"[""school""]","[""Miami-Dade / Hialeah private-school routes (likely)""]","Florida LLC filed 2023-03-31, active status; no M&A or news coverage.",,low,"Very new (2023) micro family LLC in Hialeah; ~$0.8M revenue, 18 employees. Far below typical Summit tuck-in threshold; only relevant as part of a Miami-Dade roll-up of multiple sub-scale Hispanic family operators."
1361,Happy Angels School Trnsprtn,FL,family-owned,independent,"[""Maria E. Moscoco (Manager)""]",unknown,2019,,20,"[""school""]","[""Lake County / Clermont private-school or daycare routes (likely)""]","No public news, M&A, or contract awards found.",,low,Single-location ~20-employee operator run from a residential Clermont address; profile fits a small daycare/private-school shuttle service rather than a public district contractor. Marginal as a Summit tuck-in; useful only as a driver/route add-on in Central FL.
1362,Rockwood Transportation Inc,PA,family-owned,independent,"[""Robert Harrold (Owner)""]",medium,2001,47,28,"[""school""]","[""Rockwood Area School District and/or Meyersdale Area School District, Somerset County PA (likely)""]","FMCSA snapshot (2026) shows 47 power units / 28 drivers, intrastate-style private passenger carrier; PA Corp active since 2001. No M&A activity surfaced.",,medium,"Genuine independent, family/owner-operator school-bus contractor in Somerset County PA with a real 47-bus fleet (much larger than the revenue-est suggests) and 25+ year tenure under one owner. Strong rural PA tuck-in profile for Summit: owner age/succession likely, defined small-district customer base, and minimal competition for the route."
1364,Prestige School Transport LLC,FL,family-owned,independent,"[""Roshawn A. Chesterfield (Owner / Authorized Person)""]",unknown,2021,,16,"[""school""]","[""Orlando-area schools (Orange County); confirmed FL LLC, principal address 3956 Town Center Blvd #336, Orlando 32837""]","FL LLC filed 09/29/2021, active status; no M&A or notable press located.",https://www.facebook.com/p/Prestige-School-Transport-LLC-100076651754319/,medium,Young (2021) owner-led Orlando operator at ~$670K revenue; well below Summit core tuck-in size threshold and only ~4 years of trading history — more relevant as future watch-list than near-term target.
1367,Myers Transportation,PA,family-owned,independent,"[""Myers family (current generation manages day-to-day); Mark Berkely (Manager, Swissvale/Woodland Hills Terminal)""]",medium,1950,,12,"[""school"", ""charter""]","[""Pittsburgh Public Schools (confirmed carrier; Myers buses include unit L401)"", ""Woodland Hills area districts (Swissvale terminal)"", ""Westmoreland County schools out of Export and Latrobe PA bases""]","No M&A located; family-owned operator with ~75-year history operating from three PA terminals (Export, Latrobe, Pittsburgh/Swissvale-Woodland Hills); active Pittsburgh Public Schools carrier as of recent district info.",https://www.myerstran.com/,medium,"The Swissvale address is Myers Transportation Inc.'s Woodland Hills Terminal — part of a multi-terminal, ~3-generation family-owned western-PA school-bus contractor serving Pittsburgh Public Schools. Strong tuck-in candidate for Summit's PA cluster on succession-driven thesis; the 12-employee figure reflects only the Swissvale terminal, with the parent company materially larger across Export/Latrobe/Pittsburgh."
1372,Gentle Arms Daily Transportation,MA,family-owned,independent,Ann McGuigan (Owner),medium,2005,small (~12-20 vans; 28 employees per source data),28,"[""NEMT"", ""elderly/disabled paratransit"", ""possible adult day program transport""]",Listed on AgeSpan (Greater Lawrence/Merrimack Valley elder services) resource directory; serves elderly and disabled adults for medical appointments and adult day programs; no confirmed K-12 school district contracts,"No M&A, safety, or material news identified",,medium,"Poor strategic fit. Gentle Arms is a small family-owned NEMT/elderly paratransit operator in Chelmsford MA, not a K-12 school-bus or SPED contractor. Founder Ann McGuigan is sole owner (potential succession over time) but the service mix is adjacent rather than core to Summit's school-bus thesis."
1373,Merit Medi Trans,CA,independent,independent,,unknown,1980,unknown (very small; ~4 employees),4,"[""NEMT"", ""wheelchair/gurney medical transport""]",Local non-emergency medical transport in Yuba/Sutter/Butte County area; referred via Passages Adult Resource Center and FREED Center for Independent Living; no school district contracts identified,No M&A or notable news identified; appears to be a long-standing small local NEMT operator,meritmeditrans.com,low,"Poor fit for Summit. This is a NEMT/medical transport micro-operator (~4 employees, ~$246K revenue), not a school-bus contractor; no school or SPED routes identified. Sub-scale even as a tuck-in."
1374,Chicago Disability Transit LLC,IL,independent,independent,Michelle Dacy (owner per BBB); Karen Zaur (Manager),unknown,2004,unknown (very small; ~3 employees),3,"[""paratransit"", ""NEMT"", ""wheelchair-accessible van service""]",Disability-owned paratransit serving Chicago metro general public 24/7; listed as a Medicaid/transportation-broker NPI; no identified school district or SPED routing contracts,No M&A activity identified; long-tenured local operator with A+ BBB rating,chicagodisabilitytransit.com,medium,"Poor fit for Summit. Disability paratransit/NEMT, not yellow-bus or contracted SPED student transport. Sub-scale (3 employees, ~$227K) and outside Summit's school-route platform thesis."
1386,Bert Bendickson School Bus,MN,family-owned,independent,"[""Bertram Bendickson (Owner)"", ""Joyce Marie Bendickson (officer; related entity Bendickson School Bus Service Inc, USDOT 939415)""]",high,2001,2-5,16,"[""school""]","[""Bejou-area / Mahnomen County / White Earth Reservation district routes (rural NW Minnesota)""]","FMCSA records show Bendickson School Bus Service Inc (USDOT 939415, first registered 2001) and a separate Bert Bendickson DOT 2923232 — both at Bejou, MN. Obituary noted for Albertha Bendickson of Mahnomen, suggesting multi-generational family operation. No M&A activity.",,medium,"True family-owned micro operator in rural NW Minnesota — confirmed independent but extremely small (2 drivers per FMCSA, <$1M revenue). Geographically remote from Summit's core footprint; not a tuck-in priority despite high succession signal."
1391,B & B Busing-Just For Kids,KS,family-owned,independent,"[""Bryan K. Bennett (Owner)""]",high,1988,22,18,"[""school"", ""charter""]","[""Junction City & Manhattan KS communities; door-to-door student transportation, field trips, corporate shuttles""]","BBB lists business as 'Out-of-Business known or suspected' (alert opened 2010), yet FMCSA shows USDOT 955854 ACTIVE with 22 power units and 18 drivers as of 2026 and the company website (bnbbusing.com) is live; conflicting signals suggest a long-tenured single-owner operator still running.",https://bnbbusing.com/,medium,~37-year-old single-owner (Bryan Bennett) Kansas operator with ~22 buses serving Junction City/Manhattan (Fort Riley area) — classic high-succession family tuck-in profile; BBB 'out of business' flag plus active FMCSA/website warrants a direct outreach call; KS is outside Summit's densest footprint but Fort Riley military-adjacent routes could be attractive.
1406,Nostalgia Limo,MD,family-owned,independent,"[""Peter Zillner (Owner)""]",unknown,,,14,"[""limousine"", ""charter""]",[],"Limousine/vintage car service in Gwynn Oak, MD; no school bus or SPED district contracts identified. No M&A, ownership, or growth news found.",,low,"Limo/livery business, not a school-bus contractor despite source-data 'special_needs' flag. Not a Summit tuck-in target — wrong service line."
1407,Woodland Wheelchair Svc Inc,WA,family-owned,independent,"[""Carolyn Trice (President/Owner)""]",high,1992,,7,"[""NEMT"", ""wheelchair-transport"", ""special-needs""]",[],"Founded 1992, incorporated 1994; long-tenured owner-operator Carolyn Trice. BBB file open since 2007 but not accredited. Some mixed customer reviews. No M&A activity reported.",,medium,"34+ year-old owner-operated wheelchair/NEMT business in SW Washington — owner likely near retirement (succession signal high), but scale is tiny (~7 employees, ~$235K-$850K revenue) and there is no evidence of yellow-bus or school district SPED contracts. Below Summit tuck-in threshold; pass unless district SPED contracts can be confirmed."
1410,Seacoast Chair Car Svc LLC,NH,independent,independent,"[""Stephen MacInnes (Owner)""]",medium,1999,,14,"[""wheelchair_transport"", ""NEMT"", ""handicapped_transport""]","[""NH seacoast medical/disability riders""]","No M&A news. Owner-operated handicapped/medical transport in Hampton, NH since 1999/2000; ~25+ years in business with single owner.",,medium,Not a yellow-school-bus operator. Pure wheelchair/NEMT van service; could be an adjacent NH SPED/medical add-on but not a core Summit school-bus tuck-in. Long-tenured solo owner suggests possible succession optionality.
1411,Cities Best Transportation,MN,family-owned,independent,"[""Timothy J Herlofsky (CEO)"", ""Trisha Goad-Herlofsky""]",unknown,2013,,10,"[""special_needs"", ""NEMT"", ""senior_transport""]","[""Twin Cities special-needs/senior riders""]","FMCSA carrier DOT# 2424166 registered 2013; SAFER shows operating authority as inactive in recent records, suggesting a downsized or paused common-carrier footprint. No M&A.",,low,"Not a school-bus operator. Family-run special-needs van service in Crystal, MN with inactive FMCSA authority; too small and not in school-bus core for Summit tuck-in."
1412,Real Time Transport Corp,TX,independent,independent,"[""Kamal Alkak (Manager)"", ""Rajan Vishwanathan (VP Operations)""]",unknown,2014,200,10,"[""wheelchair_transport"", ""NEMT"", ""medical_transport""]","[""DFW-area NEMT/Medicaid riders""]",Privately owned DFW NEMT operator; one source claims operates 200+ wheelchair vans across DFW region (unverified; conflicts with very low headcount/revenue in source data). No M&A activity found. Active FMCSA registration.,,low,"Not a school-bus operator. NEMT/wheelchair-van service in Irving, TX with no school district contracts indicated; not a core Summit yellow-bus tuck-in target."
1423,ASAP Transportation Inc,IL,independent,independent,Rochelle D. Coleman (President),unknown,,,10,"[""non-emergency medical transport"", ""special-needs""]",Not disclosed; WMBE/BEP-certified NEMT provider in Chicago south suburbs,No M&A or notable news found (2026).,https://www.asaptransportationinc.com/,low,"Appears to be a small WMBE-certified NEMT operator, not a yellow-bus school contractor. Weak tuck-in fit for Summit unless Summit pursues SPED/livery contracts; very small (10 employees, ~$755K rev)."
1425,Express One Transportation LLC,AZ,independent,independent,Mustafa Arbab (Manager/Owner),unknown,2024,,10,"[""in-home supportive care"", ""non-emergency medical transport""]",Not disclosed; NPI registered Nov 2024 as In Home Supportive Care provider,"Registered with NPI 1467277210 in Nov 2024 as In Home Supportive Care, not student transport.",,low,"Newly-formed healthcare/IHSS provider, not a school-bus operator. Misclassified as student transport in source dataset. Not a Summit tuck-in target."
1428,Sparrow-A Transportation Co,NJ,independent,independent,Beverly Tipton (President),unknown,,,10,"[""special-needs"", ""NEMT""]",Easter Seals Workshops (special-needs adult day program transport); operates under FMCSA MC-644037 / USDOT 1761846,BBB A+ rated; ~17 years in business as of mid-2020s; no M&A activity identified,,medium,"Very small adult/special-needs van operator focused on Easter Seals workshop transport, not K-12 school bus contracts. Below Summit tuck-in threshold and not a strategic fit."
1430,Redi-Rides Of Alaska,AK,independent,independent,Corky Hedrick (Owner/Principal),unknown,2013,,11,"[""special-needs"", ""NEMT""]",Medical and non-medical wheelchair / physically and mentally handicapped transport in Mat-Su Valley; NPI 1962917641 (NEMT van provider),LLC registered in Alaska Jul 2013; no M&A activity identified,,medium,"Wheelchair/NEMT van operator in Wasilla AK, not a K-12 yellow-bus contractor. Out of Summit geographic and operational scope."
1431,KNOX Medex Inc,TN,independent,independent,,unknown,,,12,"[""special-needs"", ""NEMT""]",Non-emergency medical transportation across Knoxville/Knox County; ADA wheelchair and ambulatory patient transport,No M&A or ownership-change news identified,https://www.knoxmedex.net/,medium,"Pure NEMT provider (medical appointments/dialysis), not a school-bus or SPED contractor. Not a Summit tuck-in fit."
1436,Salem Limousine,OH,family-owned,independent,"[""Mark R. Stubbs (Owner/President)""]",unknown,,,10,"[""limousine"", ""livery"", ""charter""]",[],"Operates as 'Salem Auto Livery Co.' from 712 W 3rd St, Dayton; BBB-categorized as charter bus / limo service. Owner Mark R. Stubbs. No school district contracts surfaced.",,low,Family-owned Dayton livery/charter operator (d/b/a Salem Auto Livery). Phone matches record. No evidence of school-bus or SPED routes; primarily limo/charter. Not aligned with Summit's yellow-bus tuck-in thesis; pass unless deeper diligence finds SPED/Medicaid work.
1441,J & I Classic Limousine Svc,MA,family-owned,independent,Tony Dosanjos (Principal),unknown,1992,,10,"[""limousine rental with driver"", ""special events/car service""]",Greater New Bedford/Bridgewater area MA; no confirmed school-district contracts,"No M&A or notable news identified; D&B/Yelp listings indicate ~2 employees and ~$87K revenue per one record, suggesting a very small lifestyle business",,low,"Not a fit. Small family limousine service (founded 1992) in South Dartmouth/Bridgewater MA; primary business is wedding/special-events limo rental, not school-bus or SPED student transport. Sub-scale for Summit tuck-in."
1448,Dependability Co School,PA,independent,independent,[],unknown,,24,50,"[""school"", ""special-needs""]","[""School District of Philadelphia (likely)""]","NLRB cases 04-RC-117368 and 04-CA-119117 (2013-2014) involve Dependability Company LLC at 3955 Frankford Ave employing drivers, attendants, mechanics and dispatchers; intrastate passenger carrier per FMCSA (USDOT 1734644).",,medium,Independent Philly-area school bus contractor with ~24 buses likely serving School District of Philadelphia. Small but in Summit's home market; possible tuck-in if not already part of a roll-up. Low online footprint warrants direct outreach.
1449,Toney's School Bus Co,MO,family-owned,independent,"[""Kenneth (Kenny) O. Toney (founder, deceased 2015)"", ""Toney family""]",high,,5,5,"[""school""]","[""Schuyler County R-I School District (Lancaster, MO)""]",Founder Kenneth O. Toney passed away February 2015; Toney Bus Company drivers served as honorary pallbearers. Company appears to continue as small family operation servicing rural Schuyler R-I.,,low,Very small rural northern Missouri operator (~5 buses) with founder deceased and likely succession dynamics. Too small to be a meaningful tuck-in on its own; only attractive as part of a broader rural MO consolidation.
1450,Community Connections Trnsprtn,FL,independent,independent,"[""Kimber Saint-Preux (Founder)""]",low,2015,,9,"[""paratransit"", ""NEMT"", ""special-needs""]","[""Senior communities"", ""Assisted living facilities"", ""Medical practices"", ""Dialysis centers"", ""Metro Orlando STAR network paratransit""]",Founded 2015 by Kimber Saint-Preux; FDOT-certified paratransit provider serving metro Orlando; donates up to 10% of profits to senior/disabled causes.,https://cctransportations.com/,medium,"Mission-driven senior/paratransit operator, NOT a school-bus contractor. Wrong vertical for Summit (no school district contracts identified). Skip unless Summit expands into NEMT/senior paratransit."
1455,TLCM LLC,NY,family-owned,independent,"[""Peter M. Smeding (CEO)""]",unknown,,79,86,"[""NEMT"", ""paratransit"", ""ambulette"", ""disabled transport""]","[""hospitals"", ""nursing homes"", ""dialysis centers"", ""behavioral institutes"", ""rehab centers""]","FMCSA SAFER snapshot reports ~79 power units, 86 drivers, ~2.2M annual miles (2024).",https://www.tlctransport.com/,medium,"Marginal. TLC Transportation (DOT 2291752) is a Long Island NEMT/ambulette operator serving hospitals, dialysis, behavioral and rehab clients — not K-12 school routes. Fleet of ~79 units is meaningful but in adjacent paratransit segment; would only be a fit if Summit is explicitly expanding into NEMT/SPED-adjacent NY work."
1458,Transportation Solution Svc,MO,independent,"independent (Transportation Solution Services LLC, dba Axel)",Bernard A. 'Bernie' Squitieri (President/Founder),medium,~2017,unknown (small/mid),6 (per source list; likely more with drivers),"NEMT/medical, paratransit, student transportation (incl. special-needs), VA contracts",Ritenour School District; St. Louis-area Dept. of Mental Health; United Healthcare; area nursing homes; VA,Squitieri (founded 7+ transport cos.; sold NEMT franchise network in 2014) relaunched as Transportation Solution Services dba Axel; won VA contract (2019).,https://axel-trans.com/,medium,"Founder-led MO operator with active student-transport contracts (e.g., Ritenour SD) and special-needs NEMT capability; serial entrepreneur with prior exit (2014) suggests openness to sale. Modest scale but a credible St. Louis-metro tuck-in candidate for Summit's special-needs/alt-transport segment."
1461,Global-Aid TRANSPORTATION LLC,FL,family-owned,independent (Global-Aid Transportation LLC),Steven Jones (Founder; EMT-Paramedic),low,2016,unknown (very small; 5 employees),~5,"Non-emergency medical transport (NEMT): stretcher, wheelchair, ambulatory; long-distance medical transfers; hospice/dialysis/nursing-home runs. NO school-bus or student-transport offering identified.","Orange County FL / Greater Orlando: hospitals, rehab centers, skilled nursing, adult day care, dialysis, hospice",Operates 24/7; ~230 reviews on Birdeye; no M&A activity identified.,https://globalaidtransportation.com/,medium,"Very small, founder-run NEMT shop (~5 employees). No school-district contracts identified; doesn't fit Summit's student-transportation tuck-in thesis. Possible adjacency only if Summit expands into Florida NEMT/special-needs medical transport."
1471,Larrys Executive Limousine,FL,family-owned,independent,"[""Larry Stamos (President / Owner)""]",unknown,,~5-10 sedans/SUVs/Sprinter vans,4,"[""limousine/black car"", ""school & commuter bus transport"", ""special needs transport"", ""shuttle"", ""ambulance""]","Sarasota, Bradenton, Lakewood Ranch and surrounding areas; mix of corporate, leisure, school/commuter and special-needs riders. No named district contract identified.",No M&A news identified; small owner-operated luxury ground-transport business with stated school/special-needs service line.,executivelimousines.com,medium,"Marginal fit: primarily a luxury limo/black-car operator with ancillary school & special-needs service. Likely <10 vehicles, no yellow-bus or district contract; below Summit tuck-in scale. Monitor only."
1472,Caring Harts Transportation,NY,family-owned,independent,"[""Tricia Hart (President/CEO)""]",medium,2006,~6-10 wheelchair/stretcher vans,16,"[""non-emergency medical transport (NEMT)"", ""wheelchair van"", ""stretcher transport"", ""paratransit""]","Wyoming County, NY and surrounding WNY region; Medicaid/NEMT focused; Wyoming County IDA highlighted as local success story.","Founded 2006 by Tricia Hart; ~20 years operating; profiled by Wyoming County IDA as success story; D&B est. ~$1.8M revenue, ~16 employees.",caringhartswny.com,medium,"Not a school-bus fit: pure NEMT/wheelchair-van operator, no yellow-bus or school district contracts identified. Could be relevant only if Summit pursues adjacent special-needs/SPED-route adjacency in WNY. Otherwise pass."
1478,Zweigart Bus Svc Inc,IL,family-owned,independent,"Martha Zweigart (President); Zweigart family (Lewis E. Zweigart, founder, d.2010)",high,1963,10-20,20-49,"[""school"", ""charter"", ""shuttle""]","Sparta Community Unit School District 140 (since 1963); Evansville/Sparta IL area; also operates from Sparta, IL location",Long-standing family operator since 1963; founder Lewis E. Zweigart passed in 2010 with second-generation Martha Zweigart now President — multi-generational succession dynamic.,,medium,"Classic small-town family tuck-in: 60+ year operator on a single-district contract (Sparta CUSD 140) in rural southern IL. Aging principal and multi-location footprint (Evansville + Sparta) suggest succession-driven sale potential, though sub-$2.5M revenue makes it a true bolt-on."
