a_rank_overlay,bench_rank_overlay,track,company,state,hq,w4_composite,overlay_pts_sum,overlay_composite,data_confidence,sub_sector_derived,scale_tier_derived,fleet_buses,drivers,founded,fmcsa_source,usdot,_sf,_su,_geo,_ind,_oh,_rel,composite,a_rank,bench_rank,valuation_attractiveness_pts,valuation_attractiveness_cite,valuation_attractiveness_flag,size_margin_signal_pts,size_margin_signal_cite,size_margin_signal_flag,succession_pts,succession_cite,succession_flag,driver_market_risk_pts,driver_market_risk_cite,driver_market_risk_flag,outsourcing_ev_mandate_pts,outsourcing_ev_mandate_cite,outsourcing_ev_mandate_flag,contract_renewal_timing_pts,contract_renewal_timing_cite,contract_renewal_timing_flag,ut_expansion_bonus_pts,ut_expansion_bonus_cite,ut_expansion_bonus_flag,iv_fleet_used,iv_fleet_source,iv_rev_low,iv_rev_point,iv_rev_high,iv_ebitda_low,iv_ebitda_point,iv_ebitda_high,iv_ev_mult_entry_low,iv_ev_mult_entry_point,iv_ev_mult_entry_high,iv_ev_perbus_low,iv_ev_perbus_point,iv_ev_perbus_high,iv_ev_entry_consensus_low,iv_ev_entry_consensus_high,iv_ev_build_8x_point,iv_value_creation_spread_point,iv_flag,iv_citation,da_revenue_est,da_employees,web_employees_est,da_size_tier,web_ownership_type,web_owner_or_parent,web_succession_signal,web_service_types,web_districts_or_customers,web_website
,1319,BENCH,Toms Limo,MI,"Grand Rapids, MI",58.5,0.0,58.5,0.6,S,<50,2,1,2018,census(medium),3131051,40,40,70,100,50,75,58.5,,1175,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2018 (business age=8y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,2,census(medium),180000,210000,226000,41400,56700,76840,124200,226800,384200,134000,200000,260000,134000,260000,453600,226800,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),118000,2,2,single,independent,independent,unknown,"[""limousine"", ""livery""]",[],
,1320,BENCH,Custom Care & Transport Svc,WI,,50.5,8.0,58.5,0.6,S,<50,1,1,2010,census(medium),1982852,40,60,30,60,50,75,50.5,,1498,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,0.0,master_targets.founded=2010 (business age=16y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),241000,6,6,single,unknown,independent,unknown,"[""special-needs"", ""NEMT""]",[],
,1321,BENCH,Wheelchair Service-Black Hills,SD,"Rapid City, SD",50.5,8.0,58.5,0.6,S,<50,1,1,2003,census(medium),1186523,40,60,30,60,50,75,50.5,,1499,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,0.0,master_targets.founded=2003 (business age=23y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),77000,1,1,single,unknown,independent,unknown,"[""NEMT"", ""wheelchair transport""]",[],
,1322,BENCH,Columbia Bus Resources LLC,OR,"Tualatin, OR",61.5,-4.0,57.5,0.8,Y,<50,3,1,2013,census(medium),2425770,40,40,70,60,100,90,61.5,,933,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2013 (business age=13y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,3,census(medium),234000,294000,339000,36270,58800,115260,108810,235200,576300,201000,300000,390000,201000,390000,470400,235200,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),2763000,56,56,single,unknown,independent (likely),unknown,"[""school""]",[],columbiabusinessresources.com
,1323,BENCH,American International Bus LLC,AZ,"Scottsdale, AZ",61.5,-4.0,57.5,0.8,Y,<50,1,1,2017,census(medium),3983893,40,40,70,60,100,90,61.5,,935,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2017 (business age=9y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),78000,98000,113000,12090,19600,38420,36270,78400,192100,67000,100000,130000,67000,130000,156800,78400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),4358000,91,91,small(2-5),unknown,unknown (sole-member LLC per data; Carlos A. Becerra listed as Owner),unknown,unconfirmed — possibly charter/shuttle/international service; no evidence of school district contracts found,None confirmed; Scottsdale USD uses internal department; American Leadership Academy and AIA (American International Academy) have their own programs but no link found to this LLC,Not confirmed; no operating website found
,1324,BENCH,Strategic Bus Solutions NJ,NJ,"Belleville, NJ",61.5,-4.0,57.5,0.8,Y,<50,2,2,2016,census(medium),2942497,40,40,70,60,100,90,61.5,,936,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2016 (business age=10y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,2,census(medium),156000,196000,226000,24180,39200,76840,72540,156800,384200,134000,200000,260000,134000,260000,313600,156800,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),929000,18,18,single,unknown,unknown,unknown,"[""school""]",Possibly NJ districts in Essex County area; not listed in NJDOE 2020-21 contractor codes located,sbsway.com (no live content retrieved)
,1325,BENCH,College Bus LLC,OH,"Cleveland, OH",61.5,-4.0,57.5,0.8,Y,<50,1,1,2017,census(medium),3064070,40,40,70,60,100,90,61.5,,940,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2017 (business age=9y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),78000,98000,113000,12090,19600,38420,36270,78400,192100,67000,100000,130000,67000,130000,156800,78400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),179000,4,4,single,unknown,independent,unknown,"[""school""]","unknown; address (626 Clinton Ln, 44143) is in Highland Heights / Mayfield Heights area, suburban east Cleveland near Mayfield City Schools and Cleveland Heights-University Heights CSD",none found
,1326,BENCH,Michigan Central Sch Bus LLC,MI,"Wyandotte, MI",61.5,-4.0,57.5,0.6,Y,<50,1,2,2013,census(medium),2419190,40,40,70,60,100,90,61.5,,943,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2013 (business age=13y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),78000,98000,113000,12090,19600,38420,36270,78400,192100,67000,100000,130000,67000,130000,156800,78400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),1945000,41,41,single,unknown,unknown,unknown,"[""school""]",[],
,1327,BENCH,It Takes A Vlg Sch Trnsprtn,OH,"Columbus, OH",61.5,-4.0,57.5,0.6,Y,<50,1,1,2012,census(medium),2305015,40,40,70,60,100,90,61.5,,946,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2012 (business age=14y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),78000,98000,113000,12090,19600,38420,36270,78400,192100,67000,100000,130000,67000,130000,156800,78400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),1470000,32,32,single,unknown,independent,unknown,"[""school""]",[],
,1328,BENCH,Student Bus Svc,OH,"Fremont, OH",61.5,-4.0,57.5,0.6,Y,<50,2,2,2015,census(medium),2632702,40,40,70,60,100,90,61.5,,947,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2015 (business age=11y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,2,census(medium),156000,196000,226000,24180,39200,76840,72540,156800,384200,134000,200000,260000,134000,260000,313600,156800,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),756000,18,18,single,unknown,independent,unknown,"[""school""]","[""possibly Fremont City Schools (unverified)""]",
,1329,BENCH,Student First Trnsprtn Inc,MN,"Saint Paul, MN",61.5,-4.0,57.5,0.6,Y,<50,1,2,2018,census(medium),4311774,40,40,70,60,100,90,61.5,,948,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2018 (business age=8y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),78000,98000,113000,12090,19600,38420,36270,78400,192100,67000,100000,130000,67000,130000,156800,78400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),535000,12,12,single,unknown,independent,unknown,"[""school""]","[""Saint Paul area (unconfirmed)""]",
,1330,BENCH,West Charlotte Transportation,NC,"Charlotte, NC",61.5,-4.0,57.5,0.6,Y,<50,1,1,2013,census(medium),2389072,40,40,70,60,100,90,61.5,,950,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2013 (business age=13y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),78000,98000,113000,12090,19600,38420,36270,78400,192100,67000,100000,130000,67000,130000,156800,78400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),293000,6,6,single,unknown,independent,unknown,"[""school""]",Likely small Charlotte-area charter/private schools; no confirmed CMS contract found,
,1331,BENCH,Old School Limousine LLC,CO,,61.5,-4.0,57.5,0.6,Y,<50,2,1,2015,census(medium),2598269,40,40,70,60,100,90,61.5,,955,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2015 (business age=11y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,2,census(medium),156000,196000,226000,24180,39200,76840,72540,156800,384200,134000,200000,260000,134000,260000,313600,156800,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),480000,5,5,small(2-5),unknown,independent,unknown,"[""charter/limo""]",[],
,1332,BENCH,A+kids School Bus Svc LLC,FL,"Miami, FL",58.5,-1.0,57.5,0.6,Y,<50,1,3,2016,census(medium),3018360,40,40,100,60,50,90,58.5,,1170,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,-8.0,master_targets.founded=2016 (business age=10y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,3.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=FL/scale=all/sub=Y],,0,,reserved_zero,0,,non_ut,1,census(medium),78000,98000,113000,12090,19600,38420,36270,78400,192100,67000,100000,130000,67000,130000,156800,78400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),89000,2,2,single,unknown,independent,unknown,school bus (likely private school / daycare shuttle),Miami-Dade area; specific customers not identified,
,1333,BENCH,All Luxury Limousines,CA,"Carmel, CA",55.0,2.5,57.5,0.2,S,<50,,,2015,none,,50,40,70,60,50,75,55.0,,1375,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2015 (business age=11y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-7.5,State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=CA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,291000,4,4,single,unknown,independent,unknown,"[""limousine"", ""livery""]",[],
,1334,BENCH,East Bay Wheel Chair Transport,CA,"Elk Grove, CA",55.0,2.5,57.5,0.2,S,<50,,,2017,none,,50,40,70,60,50,75,55.0,,1377,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2017 (business age=9y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-7.5,State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=CA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,281000,4,4,single,unknown,independent,unknown,"[""wheelchair/NEMT""]",[],
,1335,BENCH,A & G Activity Svc,CA,"Los Angeles, CA",55.0,2.5,57.5,0.2,S,<50,,,2015,none,,50,40,70,60,50,75,55.0,,1384,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2015 (business age=11y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-7.5,State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=CA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,220000,3,3,single,unknown,independent,unknown,"[""disabled services"", ""activity transportation""]",[],
,1336,BENCH,All Pro Transportation Svc,CA,"Inglewood, CA",55.0,2.5,57.5,0.2,S,<50,,,2015,none,,50,40,70,60,50,75,55.0,,1385,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2015 (business age=11y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-7.5,State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=CA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,220000,3,3,single,unknown,independent,unknown,"[""livery"", ""sedan/limo (likely)""]",[],
,1337,BENCH,So Cal Medical Tranz-Ill,CA,,55.0,2.5,57.5,0.2,S,<50,,,2014,none,,50,40,70,60,50,75,55.0,,1386,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2014 (business age=12y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-7.5,State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=CA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,220000,3,3,single,unknown,independent,unknown,"[""NEMT (non-emergency medical transport)""]",[],
,1338,BENCH,Diamante Limo & Airport Trnsp,CA,"San Clemente, CA",55.0,2.5,57.5,0.2,S,<50,,,2016,none,,50,40,70,60,50,75,55.0,,1396,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2016 (business age=10y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-7.5,State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=CA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,150000,2,2,single,unknown,independent,unknown,"[""limo"", ""airport""]",[],
,1339,BENCH,Limo Cars,CA,"Dana Point, CA",55.0,2.5,57.5,0.2,S,<50,,,2015,none,,50,40,70,60,50,75,55.0,,1397,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2015 (business age=11y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-7.5,State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=CA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,150000,2,2,single,unknown,independent,unknown,"[""limousine""]",[],
,1340,BENCH,Greystone Limousine,CA,"Shingle Springs, CA",55.0,2.5,57.5,0.2,S,<50,,,2017,none,,50,40,70,60,50,75,55.0,,1402,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2017 (business age=9y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-7.5,State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=CA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,126000,2,2,single,unknown,independent,unknown,"[""limousine""]",[],
,1341,BENCH,A Plus Wheelchair Transport,KY,"Louisville, KY",57.0,0.0,57.0,0.8,S,<50,3,3,2023,census(medium),4072310,40,25,30,100,100,75,57.0,,1235,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2023 (business age=3y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,3,census(medium),270000,315000,339000,62100,85050,115260,186300,340200,576300,201000,300000,390000,201000,390000,680400,340200,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),283000,4,4,single,independent,independent,unknown,"[""NEMT"", ""wheelchair-transport""]",[],wheelchairtransport4lky.com
,1342,BENCH,Black Tie Coach LLC,NC,"Fayetteville, NC",57.0,0.0,57.0,0.8,S,<50,1,1,2023,census(medium),4141748,40,25,70,60,100,75,57.0,,1237,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,-8.0,master_targets.founded=2023 (business age=3y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,1,census(medium),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),340000,6,6,single,unknown,independent,unknown,"likely executive/chauffeur or charter coach livery; not a school-bus operator. NOTE: Black Tie Transportation Inc (Winston-Salem, NC) is a separate, larger NC-approved charter bus company - the Fayetteville entity at 2807 Skye Dr is a distinct small LLC",none identified; Cumberland County Schools handles regular and EC transport,none confirmed for the Fayetteville entity
,1343,BENCH,Comfort Coach,CA,"Murrieta, CA",56.5,0.5,57.0,0.8,S,<50,1,1,2003,census(medium),1184583,40,60,70,60,50,75,56.5,,1321,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,0.0,master_targets.founded=2003 (business age=23y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-7.5,State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=CA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,1,census(medium),90000,105000,113000,20700,28350,38420,62100,113400,192100,67000,100000,130000,67000,130000,226800,113400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),401000,5,5,small(2-5),unknown,independent,unknown,"[""coach/limo (presumed)""]",[],comfortcoach.com (no content)
