a_rank,bench_rank,track,company,state,hq,composite,data_confidence,fleet_buses,drivers,founded,fmcsa_source,usdot,fmcsa_status,safety_rating,ownership_type,owner_or_parent,principals,succession_signal,service_types,districts,recent_news,website,size_tier,da_employees,da_revenue_est,fit_notes,_sf,_su,_geo,_ind,_oh,_rel,rank_old
1037,,A,Comfort Coach Transportation,CA,"Oceanside, CA",62.5,0.8,1,1,2003,census(medium),1184583,I,,family-owned,independent,"[""Diane G. Presser (Founder/President)""]",medium,"[""disabled-transport"", ""ADA/wheelchair"", ""senior medical""]",[],"No M&A; ~17 years in business, women-owned, family-run; CPR/first-aid certified drivers; ADA wheelchair vehicles.",,single,5,361000,"Women-owned, family-run ADA/wheelchair transport micro-business in Oceanside, CA. Not a school-bus contractor; focused on disability/senior medical transport. Marginal tuck-in fit unless SPED routes for North County SD districts can be confirmed.",40,60,70,100,50,75,2194
1038,,A,Med X Transportation Inc,CT,"Plainfield, CT",62.5,0.8,2,25,2008,census(high),2943487,I,,independent,"independent (Angela Veil, owner)",Angela Veil (Owner),unknown,"non-emergency medical transportation (NEMT), wheelchair transport; not school bus",Eastern CT NEMT clients via CT DSS/Veyo broker; no public school district contracts identified,Long-running small CT NEMT LLC; no M&A or notable news.,,single,3,209000,Not a fit. NEMT-only micro-operator with no school transportation footprint. Wheelchair van service for Medicaid riders rather than SPED/school routes. Out of scope for Summit.,40,60,70,100,50,75,2580
1039,,A,American Rose Bud Limousine,NJ,"Cedar Grove, NJ",62.5,0.8,2,2,2006,census(medium),1518304,I,,family-owned,independent,"[""Carmen Ventola (Owner)""]",unknown,"[""limousine/car service"", ""possible special-needs/private transport""]",Cedar Grove / Essex County NJ area; no confirmed school-district contracts identified,No M&A or growth news identified.,,small(2-5),4,296000,"Not a fit. Micro limousine operator (~4 employees, ~$300K rev) with no evidence of school-bus or special-needs district contracts. Sub-scale for Summit tuck-in.",40,60,70,100,50,75,2656
1040,,A,A-Rated Limousines,TX,"Irving, TX",62.5,0.8,1,3,2010,census(medium),2067362,I,,independent,independent,"[""Ron Briscoe (Owner)""]",unknown,"[""limousine"", ""car service"", ""airport transfer""]","[""DFW airport pickups"", ""private events""]","No M&A or news found; small Irving, TX limo/car-service operator with positive customer reviews (Yelp/ZoomInfo, 2024-2026).",,single,2,168000,"Not a school-bus operator. ~2 employees, sub-$500K revenue limousine/car service. Not a viable Summit tuck-in target.",40,60,70,100,50,75,3333
1041,,A,Angelet's Non-Emergency,FL,"Miramar, FL",62.5,0.6,,,2021,none,,,,family-owned,independent,Ingrid Bazelais (Manager),unknown,"[""NEMT"", ""wheelchair transport"", ""special-needs transport"", ""field trips"", ""family outings""]",Private-pay retail clients (no Medicaid waiver acceptance per reviews); occasional school field trips; no district contracts identified,No M&A or notable news; active small operator marketing via Yelp/Facebook/Instagram and Broward County Black Chamber of Commerce.,https://www.angeletnonemergencytransport.com/,single,3,205000,Private-pay wheelchair/NEMT micro-operator with some special-needs use; no school-district book of business. Too small and off-strategy for a Summit student-transportation tuck-in.,50,25,100,100,50,75,1681
1042,,A,Door 2 Door School Shuttle LLC,TX,"The Colony, TX",62.5,0.6,,,2013,none,,,,family-owned,independent (Carl W. Garlington per state records),"[""Carl W. Garlington"", ""Brenda"", ""Christina""]",unknown,"[""school/daycare shuttle"", ""charter"", ""event transport"", ""wheelchair-accessible transport"", ""group/wedding transport""]","Private-pay families in The Colony / north Dallas metro; not a yellow-bus district contractor — geo-tracked individualized shuttle to school, daycare, sports",None found. Profiled on Yelp/Nextdoor/Alignable as a small operator; positive reviews for reliability.,door2doorshuttle.com,single,4,908000,"Micro-scale private-pay shuttle (~$908K rev, 4 employees) in Dallas metro — too small for a meaningful Summit tuck-in and lacks district contracts. Pass.",50,40,70,100,50,90,2055
1043,,A,On My Way School Taxi,TX,"Garland, TX",62.5,0.6,,,2018,none,,,,family-owned,independent,"[""Laura Rodriguez (Owner)""]",unknown,"[""school-taxi"", ""private-school-transport"", ""after-school-pickup""]","[""Garland-area private school families (DFW metro)""]",Active small business operating under 'On My Way Transportation LLC' brand; website live with 'Transporting You with Care' tagline; no recent M&A or news.,onmywaytransportationllc.com,single,5,270000,"Boutique school-taxi/private-pay child transport in DFW (Garland) rather than yellow-bus contracting; small fleet but operates in same private-pay segment Summit increasingly competes against (Taxi Mom, HopSkipDrive). Niche tuck-in only if Summit is building a DFW alt-transport arm.",50,40,70,100,50,90,2065
1044,,A,Butler Wheelchair Transport,FL,"Tallevast, FL",62.5,0.6,,,2019,none,,,,family-owned,independent,"[""Angela Butler (VP / Registered Agent)""]",unknown,"[""wheelchair/non-emergency medical transport"", ""ambulatory"", ""medical appointment transport""]","Medical appointments, dialysis, PT, airport, shopping in Sarasota/Manatee County FL; no school district customers identified",No M&A activity. FL Sunbiz lists as active profit corp (P19000021725); Sarasota-based per website.,https://butler6.com/,single,4,257000,"NEMT/wheelchair micro-operator, not a school-bus or contracted SPED provider. ~$257k revenue, ~4 employees. Out of scope for Summit tuck-in. Pass.",50,25,100,100,50,75,2460
1045,,A,Main Trans Mobility Solutions,MO,,62.5,0.4,,,2024,none,,,,independent,independent,unknown,unknown,"[""non-emergency medical transportation"", ""wheelchair transport"", ""ambulance""]",unknown; serves greater Springfield MO area (Battlefield/Greene County),"Operates as 'Maintrans Mobility Solutions LLC' at 4840 S. Gold Road, Battlefield MO 65619, providing ambulance and wheelchair transportation; BBB A+ rated. No M&A activity.",,single,3,161000,"Not a fit. NEMT/ambulance micro-operator (~3 employees, ~$161K rev), not a school-bus or SPED student-transport contractor. Adjacent vertical (medical transport) and sub-scale. Skip for Summit tuck-in pipeline.",50,25,100,100,50,75,2442
1046,,A,Dinar School Transportation,NJ,"River Edge, NJ",62.5,0.4,,,2017,none,,,,family-owned,independent,"[""Adil A Abdelmageed""]",unknown,"[""school""]",Bergen County NJ school districts (named as a Bergen County contractor in NJ Comptroller review),2025: Named by NJ Office of the State Comptroller for failing to submit required driver-safety documentation by 9/8/2025 (filed by 11/1/2025); flagged among repeat-offender contractors in 2025-26 follow-up review.,,single,3,164000,"Micro Bergen County contractor (~$164K revenue, 3 employees) with recurring NJ state safety-documentation compliance issues — adds regulatory/reputational risk and is too small to move the needle for Summit; pass unless acquired purely for route/contract pickup in a broader NJ rollup.",50,40,70,100,50,90,2709
1047,,A,Carmena Non-Med TRNSPRTN LLC,FL,"Jacksonville, FL",62.5,0.4,,,2020,none,,,,family-owned,independent,Irene S Johnson (Manager),unknown,"[""NEMT (non-emergency medical transport - van)""]",Medicaid/NEMT clients (no school district contracts identified),,,single,2,134000,"Confirmed NEMT van provider in Jacksonville (NPI 1366075731), not a school bus operator. 2-employee micro-operator. No yellow bus or SPED route contracts identified. Not a Summit tuck-in candidate; possible bolt-on only if Summit pursues NEMT-adjacent SPED work.",50,25,100,100,50,75,3131
1048,,A,Birchwood Bus Svc Inc,WI,"Hayward, WI",61.8,0.8,6,9,2014,census(high),2479449,A,,unknown,independent,[],unknown,"[""school""]","[""likely Hayward Community School District and/or Birchwood School District area, Sawyer County WI (unconfirmed)""]","No M&A or news found. Active intrastate school-bus carrier, USDOT 2479449, MCS-150 updated 03/04/2024; clean 24-month safety record.",,single,42,1762000,"Very small single-yard rural northern WI operator (~6 buses). Founded 2014 so not a classic succession candidate, but small scale and remote geography make this a low-priority tuck-in unless Summit is building density in Sawyer County WI. Phone (715) 634-8621.",65,40,30,60,100,90,1143
1049,,A,Two Star Bussing,WI,"Crivitz, WI",61.5,0.8,4,4,2014,census(high),2555133,A,,family-owned,independent,Kristy Starzer (Manager),unknown,"[""school""]","Likely contractor or sub-contractor for Crivitz School District (Marinette County, WI) - unconfirmed",No public news or M&A activity; no website; appears to be a husband-and-wife micro-contractor,,single,3,97000,Single-route family micro-operator in rural northern WI; too small to be a stand-alone Summit tuck-in but could be acquired as fold-in if Summit builds Wisconsin density.,40,40,30,100,100,90,3194
1050,,A,Jomo Transportation LLC,MA,"Westford, MA",61.0,0.6,,,2014,none,,,,independent,independent,"[""Simon Kamau (CEO/co-founder)""]",low,"[""NEMT"", ""group-home transport"", ""disabled/wheelchair""]","[""Group-home residents"", ""Medical-appointment riders in MA""]",Founded April 2014 by three founders inspired by NEMT access gap; expanded into group-home transport. NPI registered as Non-Emergency Medical Transport Van provider (NPI 1194279687). No K-12 school-district contracts identified.,jomotransportation.com,single,5,399000,"Weak fit. Independent and founder-led but pure NEMT/group-home transport, not school-bus contracting. Could be tangential SPED/door-to-door adjacency in MA, but scale (~$400K rev, 5 employees) makes it sub-scale for Summit tuck-in.",50,40,70,100,50,75,1611
1051,,A,H & M Enterprise LTD,NC,"Winston Salem, NC",61.0,0.6,,,2013,none,,,,family-owned,independent,"[""Darren Hunter (Manager/Owner contact)""]",unknown,"[""wheelchair transportation"", ""special-needs transportation"", ""shuttle service"", ""NEMT (taxonomy)""]","Winston-Salem / Forsyth County, NC; registered SAM.gov government vendor (federal contracting capable); minority/small/disadvantaged business cert; no school district contract evidence","Active SAM.gov registration, BBB profile and NPI 1619647021 active; no M&A signal.",hmentltd.com,single,6,203000,"Small minority-owned wheelchair/NEMT operator; designation as 'special needs transportation' is medical, not SPED yellow-bus. Limited fit as a Summit tuck-in; potentially relevant only for an alt-transport/SPED van-fleet rollup in Piedmont NC.",50,40,70,100,50,75,1897
1052,,A,Montco Union Taxi,MD,"Rockville, MD",61.0,0.6,,,2015,none,,,,independent,Anytime Union Taxi Cooperative (worker-owned co-op),[],unknown,"[""wheelchair-accessible taxi / paratransit (cooperative)""]","[""Montgomery County paratransit-style riders (general public)""]","Operates as worker-owned cooperative at 702 E Gude Dr, Rockville (Anytime Union Taxi Cooperative); 100% wheelchair-accessible fleet. MCPS runs its own school transportation in-house, so no school-bus contract identified.",https://anytimeuniontaxi.coop/,single,4,325000,Not a fit. Worker-owned taxi cooperative (not a yellow-bus contractor); cooperative ownership structure also makes a PE tuck-in structurally awkward.,50,40,70,100,50,75,2235
1053,,A,Kinzy Limousine,CA,"Belmont, CA",61.0,0.6,,,2017,none,,,,family-owned,independent,[],unknown,"[""limousine""]",[],Belmont/South SF limousine operator; no school-bus or special-needs student transport contracts identified.,kinzylimousine.com,single,2,177000,"Limo service, not a school-bus contractor. Out of scope for Summit tuck-in.",50,40,70,100,50,75,2466
1054,,A,Tropicare Transportation,ID,"Nampa, ID",61.0,0.6,,,2016,none,,,,family-owned,independent,"[""Rod McLeod (Owner per LinkedIn / company FB)"", ""Lance Reddish (listed as current owner per BBB record)""]",medium,"[""NEMT"", ""wheelchair transport"", ""senior/disability transport""]","[""Senior and disability clients in Treasure Valley / Nampa area""]",Yellow Pages lists the location as 'CLOSED'; BBB and Yelp listings still active as of late 2025. Conflicting ownership records (Rod McLeod vs. Lance Reddish) suggest a recent ownership transition or pending wind-down.,tropicaretransportation.com (per source data; Facebook page active under 'TropiCare Transportation'),single,2,100000,"Not a school-bus operator. Micro NEMT/wheelchair van operation (2 employees, ~$100K rev). Possibly closed or in ownership transition. Not a viable Summit tuck-in target.",50,40,70,100,50,75,2491
1055,,A,Care-Ful Wheels Transportation,CO,,61.0,0.6,,,2012,none,,,,family-owned,independent,[],unknown,"[""NEMT"", ""wheelchair transport"", ""door-to-door medical"", ""airport"", ""special events""]","[""hospitals"", ""care facilities""]","No M&A news. Christian-based wheelchair NEMT operator serving Denver Metro and Front Range; PO Box in Eastlake, CO.",http://www.carefulwheelstransportation.com/,single,3,242000,"Independent wheelchair NEMT service, not a school-bus contractor. No school district business identified. Sub-scale (~3 employees). Not a Summit tuck-in candidate.",50,40,70,100,50,75,2731
1056,,A,Lia's School Bus SVC LLC,TX,"Houston, TX",61.0,0.4,,,2026,none,,,,unknown,independent,"[""Hector R Silva (Manager)""]",unknown,"[""school""]",[],No M&A activity identified. Entity is registered in Texas as Lia's School Bus Service LLC; minimal public web presence beyond Bizapedia/state registration.,,single,27,1495000,Small Houston-area LLC at a residential address (Dunwoody Dr); appears to be an independent micro-contractor likely serving charter/private schools or HISD subcontracting. Too small in isolation but could be a bolt-on if owner-operator is approaching retirement.,80,25,70,60,50,90,1214
1057,,A,Carecar LLC,MI,"Holly, MI",61.0,0.4,,,2015,none,,,,independent,independent,"[""Nicole Downs (Manager)"", ""Nicole Morris (Manager per NPI records)""]",unknown,"[""NEMT (van)"", ""disability transport"", ""senior transport""]","[""Oakland County, MI seniors and disabled population (NEMT)""]","NPI 1356721757 issued June 2015 classifying CareCar LLC as Non-emergency Medical Transport (van) in Holly, MI. BBB and Yellow Pages list it as a disability/senior transport provider. No school-district contracts or yellow-bus fleet identified.",,single,7,482000,"NEMT/disability van service, not K-12 school transport. Out of Summit's tuck-in profile; deprioritize. (Distinct from CareCar.co, a national NEMT marketplace.)",50,40,70,100,50,75,2117
1058,,A,Richardson Taxi Cab Plus,TX,"Richardson, TX",61.0,0.4,,,2017,none,,,,independent,independent,Rod Bartauff (Owner),unknown,"[""taxi"", ""airport shuttle"", ""24/7 local taxi""]",[],"Operates 24/7 from 2435 N Central Expy, Richardson TX as a local taxi/DFW airport service per Yelp and Manta listings. No school-district contracts identified.",,single,5,418000,"Not a fit. Local taxi/airport-cab operation (~5 employees), not a yellow-bus or SPED contractor. Outside Summit's school-transport tuck-in universe.",50,40,70,100,50,75,2150
1059,,A,Care2 Transportation Svc LLC,VA,"Chesapeake, VA",61.0,0.4,,,2018,none,,,,independent,independent,"[""Adrian Brown""]",unknown,"[""NEMT"", ""wheelchair van""]","[""medical facilities (NEMT)""]",NPI 1922574581 registered as Non-Emergency Medical Transport (Van); women/minority-owned; no school transportation activity or M&A news located.,,single,4,251000,"Not a fit. Confirmed Non-Emergency Medical Transportation (NEMT) wheelchair-van provider in Chesapeake, VA, not a school-bus contractor. Tiny (~4 employees). Outside Summit's K-12 student-transport tuck-in thesis.",50,40,70,100,50,75,2381
1060,,A,JC Limousine,NJ,"Northvale, NJ",61.0,0.4,,,2015,none,,,,family-owned,independent,"[""John Cirizola""]",unknown,"[""limousine"", ""possible SPED/paratransit van""]",[],No M&A or sale news located as of 2026; not visible on the NJ DOE Type S school-bus vendor list under this exact name.,,small(2-5),6,477000,"Very small owner-operated Bergen County NJ livery (John Cirizola, ~6 staff) at a residential-style address; while NJ has a vibrant Type S small-vehicle SPED ecosystem, this name does not appear on the state DOE vendor list and there is no fleet/contract evidence. Low-priority tuck-in unless verified as a registered Type S contractor.",50,40,70,100,50,75,2640
1061,,A,M & K Wheelchair Transport,CA,"Costa Mesa, CA",61.0,0.4,,,2015,none,,,,independent,independent,"[""Edna Nacion-Anderson (owner)""]",unknown,"[""wheelchair NEMT"", ""senior/disabled transport""]",Costa Mesa / Orange County area private-pay and senior/disabled riders; no confirmed school-district contracts,No M&A or growth news identified; BBB lists business as non-accredited with no rating.,,small(2-5),4,300000,"Not a fit. Micro-operator (4 employees, ~$300K rev) providing NEMT/wheelchair van service, not contracted school-bus or SPED routes. Sub-scale for Summit tuck-in.",50,40,70,100,50,75,2653
1062,,A,Green Forhire & Wheelchair Svc,WA,"Kent, WA",61.0,0.4,,,2016,none,,,,independent,independent,,unknown,"[""wheelchair-accessible for-hire"", ""NEMT-style""]",,"Registered as Green Forhire and Wheelchair Service LLC in WA on Oct 24, 2020; operates as a King County WAV provider per b2bhint listing.",,single,3,240000,"Micro WAV/for-hire LLC in Kent, WA with 3 employees; no school-district contracts identified. Too small and not a yellow-bus or SPED route operator; not a Summit tuck-in.",50,40,70,100,50,75,2744
1063,,A,Haven Transportation,OH,"Cleveland, OH",61.0,0.4,,,2012,none,,,,independent,independent,[],unknown,"[""NEMT"", ""wheelchair/ambulatory van"", ""possibly special-needs van""]",[],"Haven Transportation Service LLC registered with NPI as a 'Bus' classification provider at 25988 Highland Rd, Cleveland, OH 44143; appears to operate as a small van-based NEMT/transport service; no public school-district contracts identified.",,single,3,223000,"Micro operator (~3 employees, ~$223K revenue). Appears to be NEMT/specialty transport, not a yellow-bus school contractor. Too small and wrong-segment for Summit tuck-in.",50,40,70,100,50,75,2859
1064,,A,Buna Transportation Svc LLC,VA,"Chesterfield, VA",61.0,0.4,,,2018,none,,,,independent,independent,"Tyler Demetrius Parker, MBA (Owner)",low,non-emergency medical / special-needs transport (NPI registered Nov 2022 as Multi-Specialty contractor); not a school-bus operator,"unknown; Chesterfield, VA-based; Chesterfield County Public Schools operates ~2,500 routes in-house and does not contract with Buna per available info",NPI 1215646633 assigned Nov 2022 establishing the entity as a healthcare contractor; no M&A or growth news,,single,3,190000,"Confirmed independent micro NEMT operator owned by Tyler Parker, founded ~2022. Young, sub-scale (3 employees), not a yellow-bus contractor. Not a Summit tuck-in target; wrong service line and far below scale threshold.",50,40,70,100,50,75,2966
1065,,A,Incare Transpor,TN,"Knoxville, TN",61.0,0.4,,,2012,none,,,,family-owned,independent,"[""Gary Fagiana (President)""]",unknown,"[""non-emergency medical transport (NEMT)"", ""handicapped/wheelchair transport""]","[""NEMT/Medicaid-style clients in Knox County area""]",NPI registered May 2012 as a Non-Emergency Medical Transport (van) provider; no M&A activity identified. Listed as a handicapped transport provider in Knoxville.,,single,3,182000,"Not a fit. Micro NEMT van operator (~3-9 employees, <$500K revenue) registered as medical transport, not a school-bus contractor. No identified school district contracts; sub-scale for Summit tuck-in.",50,40,70,100,50,75,2974
1066,,A,Upscale Limousine Svc,TX,"Lancaster, TX",61.0,0.4,,,2013,none,,,,family-owned,independent,Lamichael Pruitt (Principal),unknown,"[""limousine"", ""possible special-needs livery""]",,No M&A or operating news found; no website identified in 2026 search.,,single,2,168000,Sole-proprietor Lancaster TX limo service; no school-bus fleet evidence; far too small for Summit tuck-in.,50,40,70,100,50,75,3349
1067,,A,5 CS Limousine Svc,TX,"Buda, TX",61.0,0.4,,,2014,none,,,,family-owned,independent,"[{""name"": ""Kit Clark"", ""role"": ""Owner""}]",unknown,"[""special-needs"", ""livery""]",[],"No web presence, news, or M&A activity identified; very small Buda, TX livery operator.",,single,2,156000,Sub-scale 2-employee owner-operated livery in Hays County; below Summit tuck-in scale threshold.,50,40,70,100,50,75,3395
1068,,A,All Exclusive Limo Svc,NJ,"Paterson, NJ",61.0,0.4,,,2016,none,,,,family-owned,independent,"[""Gloria Gilchrist""]",unknown,"[""special-needs"", ""livery""]",[],"No public news, website, or press found as of June 2026. 2-employee livery operator at 395 E 34th St, Paterson - likely a small SPED-van contractor on Paterson Public Schools' approved-vendor roster.",,single,2,151000,Micro-operator with no fleet of consequence. Below Summit's tuck-in size threshold; no meaningful contract base. Pass.,50,40,70,100,50,75,3447
1069,,A,Ambassador Limosne & Sedan Svc,NC,"Lewisville, NC",61.0,0.4,,,2012,none,,,,independent,independent,"[""Paul Rutledge (Owner)""]",unknown,"[""limo/sedan""]",[],"Yelp listing exists for Ambassador Limousine & Sedan Service in Lewisville, NC; no evidence of school-bus contracts or special-needs student transport. Profile consistent with a 2-person sedan/livery operation.",,single,2,135000,Not a school-bus contractor; sedan/limo livery. Outside Summit's tuck-in profile.,50,40,70,100,50,75,3569
1070,,A,Champaign Limousine,CA,"Bella Vista, CA",61.0,0.4,,,2017,none,,,,independent,independent,"[""Jennifer Cauthen (Owner)""]",unknown,"[""limo/livery""]",[],"No web presence found for Champaign Limousine in Bella Vista, CA (PO Box 1044); not in CA passenger carrier databases as a school-bus operator. Likely small/inactive livery service in rural Shasta County.",,single,2,132000,Not a school-bus contractor; small rural limo service. Outside Summit's tuck-in profile.,50,40,70,100,50,75,3571
1071,,A,Gobrogge Limousine Svc,OH,"Green, OH",61.0,0.4,,,2012,none,,,,independent,independent,"[""Mark A. Gobrogge (likely owner; property owner at 4054 Highpoint Dr, Green/Akron OH 44685)""]",unknown,"[""limo/livery""]",[],"Home-based limousine service registered to Mark A. Gobrogge at residential address on Highpoint Dr, Green OH (Summit County). No evidence of school-bus operations or contracts with Green Local Schools (which has its own transportation dept).",,single,2,132000,Not a school-bus operator; sole-proprietor home-based limo service. Not a Summit tuck-in target.,50,40,70,100,50,75,3572
1072,,A,Rome Charters LLC,DC,"Washington, DC",60.2,1.0,8,9,2014,census(high),2477792,I,,independent,independent,unknown,unknown,"[""charter"", ""school field trips""]",Formerly DC Public Schools (2016-2022; ~$831K paid via COVID relief funds); suspended by DC Government in Nov 2022,"2022: Suspended by DC government in November 2022 following October 27, 2022 incident where Fairfax County Police arrested a Rome Charters driver after a bus carrying DC kindergarteners hit a curb and blew out a tire; cited for 18 safety violations including driver licensing and bus condition. DCPS terminated relationship.",https://romecharters.com/,single,7,480000,NOT a fit. Charter bus operator (not yellow school bus contractor) with serious 2022 safety/regulatory record; suspended from DC operations. Reputational and operational risk make this a clear pass for Summit tuck-in.,65,40,30,100,50,90,2503
1073,,A,Safe Wheels LLC,NH,"Bedford, NH",60.0,1.0,2,1,2016,census(medium),4209459,I,,family-owned,independent,Tahra Katane and Mehdi Katane (founders/owners),unknown,"[""special-needs"", ""McKinney-Vento"", ""child shuttle/after-school"", ""school-contracted""]",Contracts with multiple southern New Hampshire school districts for special needs and McKinney-Vento transportation; also direct-to-family shuttle service,"Grand opening announced 2016 in Bedford, NH; family-owned operation focused on special needs/McKinney-Vento school transportation. No recent M&A activity identified.",https://safewheels.com/,single,9,381000,"Small NH-based family operator with niche special-needs/McKinney-Vento focus — a tuck-in fit for Summit's SPED-heavy strategy in New England, but very small scale (single-tier, ~$381K revenue, van fleet vs. Type C/D buses). Likely sub-scale on its own but could augment existing NH route density.",40,40,70,100,50,90,2058
1074,,A,All American Bus Co Inc,NJ,"Hawthorne, NJ",60.0,0.8,1,2,2017,census(medium),3054613,I,,family-owned,independent,"[""William Lees (President)""]",medium,"[""school"", ""charter""]","[""northern NJ (Passaic County) school and charter work \u2014 specific districts not disclosed""]","Small Hawthorne, NJ school/charter bus operator owned by William Lees; no recent M&A or material news identified. Distinct from All American School Bus Corp (Astoria, NY).",,single,23,1083000,"Sub-scale (~$1.1M rev, 23 employees) family-led NJ operator in core Summit Northeast footprint. Likely too small for a standalone deal but could be a route-acquisition tuck-in for an existing NJ branch.",40,40,70,100,50,90,859
1075,,A,Medi-Cab,IN,"Columbus, IN",60.0,0.8,1,2,2020,census(medium),3516542,I,,independent,independent,"[""Jerry Walters (President)""]",unknown,"[""NEMT"", ""medical-transport""]","[""Bartholomew County area medical/Medicaid riders""]","Listed on Yelp/Chamber/findhelp directories as active Columbus, IN NEMT provider; no M&A or growth news. Related 'Classic Medicab Transportation' operates out of Greensburg, IN.",,single,5,304000,"Pure NEMT/medi-cab operator, not a school-bus contractor; tiny (~5 employees, ~$304K). Not a Summit tuck-in fit.",40,25,100,100,50,75,1834
1076,,A,Major Transportation,MD,"Cambridge, MD",59.5,0.4,,,2022,none,,,,family-owned,independent,"[""Glendora Major""]",unknown,"[""school""]","[""Dorchester County, MD (likely Dorchester County Public Schools contractor based on MD's contractor model)""]","Listed in directories (Manta, Chamber of Commerce, Annapolis Directions) as a school bus transportation service at 837 Fairmount Ave, Cambridge, MD. No recent news or website. Note: FMCSA USDOT 1619226 'Major Transportation Services Inc' is an unrelated freight carrier.",,single,2,68000,Very small Eastern Shore family operator in MD's contractor-route model. Sub-scale on its own but Dorchester County contractor routes could bolt onto a regional MD tuck-in roll-up for Summit.,50,25,70,100,50,90,3234
1077,,A,Lottery School Transportation,NC,"Gastonia, NC",59.5,0.4,,,2025,none,,,,independent,independent,"[""Melvin J Dent (Manager)""]",unknown,"[""school (unconfirmed contract)""]",Gaston County Schools runs own transportation; no public contract identified. Registered as Lottery School Transport LLC in Gastonia NC per Bizapedia. Very newly formed (2025).,Newly registered NC LLC (2025); no operational or M&A news.,,single,4,149000,Brand-new (2025) micro-LLC at a residential address in Gastonia with no verifiable district contract. Not a viable Summit tuck-in. Pass.,50,25,70,100,50,90,3257
1078,,A,Pine Creek Transportation Svc,WI,"Taylor, WI",59.0,0.6,,,2002,none,,,,family-owned,independent,"[""David A. Burnell"", ""Ann Burnell""]",medium,"[""NEMT"", ""wheelchair"", ""pediatric wheelchair""]","[""Taylor WI area"", ""La Crosse WI area""]",Founded 2003 by David and Ann Burnell; remains family-owned NEMT provider focused on wheelchair (manual/power/pediatric) transport; no M&A activity.,https://pinecreektrans.com/,single,1,44000,"Family-owned NEMT, not a school-bus contractor; pediatric wheelchair service is closest adjacency. Too small (sub-$50K rev, 1 employee) for Summit tuck-in.",50,60,30,100,50,75,2662
1079,,A,Premium Limousine,MN,"Esko, MN",59.0,0.4,,,2008,none,,,,unknown,independent,[],unknown,"[""limousine/car service"", ""possible NEMT""]","Esko / Carlton County MN area; Esko Public Schools transportation is handled in-house (per district website), so no contract relationship identified",No M&A or growth news identified.,,small(2-5),4,298000,Not a fit. Micro limo operator in small MN town; no evidence of school-bus or SPED contracts. Sub-scale and outside Summit core footprint.,50,60,70,60,50,75,2655
1080,,A,Manchester Limousine Svc,VT,"Manchester Center, VT",59.0,0.4,,,2011,none,,,,family-owned,independent,"[""Leonard Dubrow (Owner)""]",unknown,"[""limousine"", ""taxi"", ""mini-van""]",[],"Leonard Dubrow listed as owner of 'Manchester Mini Van Taxi Service' at same Manchester Center, VT address. Operates as a taxi/limo, not a school-bus contractor.",,single,4,231000,Taxi/limo micro-operator; not a school-bus or SPED contractor. Not a Summit tuck-in candidate.,50,60,30,100,50,75,3282
1081,,A,GC Logistics LLC,MS,"Ridgeland, MS",58.5,1.0,1,3,2015,census(medium),2793466,I,,independent,independent,"[""Jeremy Bass (Vice President)""]",unknown,"[""facilities O&M"", ""grounds maintenance"", ""commercial cleaning"", ""supply chain / logistics (govt contracting)""]","[""Federal, state, municipal, and private clients (govtribe-listed federal vendor)""]","Active federal contractor since 2017 in Ridgeland, MS; D&B lists 'School and Employee Bus Transportation' as a NAICS but website/marketing emphasizes grounds maintenance, sanitation, and supply chain - no evidence of operating school-bus routes.",gclogistics.us,single,9,517000,"Not a fit. Diversified facilities/O&M/logistics firm, not a school-bus contractor. NAICS code likely misleading. Exclude.",40,40,70,100,50,75,1596
1082,,A,BML Transportation Svc LLC,AL,"Montgomery, AL",58.5,1.0,3,3,2014,census(high),2487457,I,,family-owned,independent,"[""Thomas Hardy Jr. (Owner/Operator, BML Transportation Services LLC)"", ""Janet Hardy (Owner, BML Freight Services LLC - affiliate)""]",unknown,"[""non-emergency medical transport"", ""special needs (medical)"", ""courier/freight (affiliate)""]","[""Central Alabama / Montgomery area NEMT riders"", ""Medicaid/Medicare brokered trips (per BBB profile)""]",No M&A activity identified; family-owned Montgomery NEMT operator with affiliated BML Freight Services courier entity; active BBB profile.,https://bmltransportation.com/,single,5,326000,"Poor fit: NEMT/courier micro-operator, not a school-bus contractor. No evidence of district contracts or yellow buses; too small (~5 employees, ~$326K) and outside Summit's school-bus tuck-in profile.",40,40,70,100,50,75,1634
1083,,A,Flexible Moves Transportation,NC,"Julian, NC",58.5,1.0,1,1,2017,census(high),4150270,I,,family-owned,independent,"[""Evelyn Brown (Owner)""]",low,"[""NEMT"", ""wheelchair-accessible transport"", ""shopping/community transport""]","Rural Guilford, NE Davidson, N Randolph, W Alamance counties (Piedmont Triad, NC); no school district contracts identified",BBB-accredited March 2025; company website lists founding 2017 (BBB notes 2-year operation starting 10/2023 — suggesting recent re-registration). No M&A activity.,flexiblemovestransportation.com,single,3,209000,Pure NEMT/wheelchair-van micro-operator with no school-bus or SPED routes. Not a Summit tuck-in target.,40,40,70,100,50,75,1895
